date,location,total
2020-08-03,Zachodniopomorskie,352
2020-08-03,Wielkopolskie,584
2020-08-03,Śląskie,917
2020-08-03,Małopolskie,624
2020-08-03,Opolskie,192
2020-08-10,Pomorskie,378
2020-08-10,Mazowieckie,591491
2020-08-10,Podlaskie,255
2020-08-10,Podkarpackie,387
2020-08-10,Lubelskie,406
2020-08-10,Świętokrzyskie,246
2020-08-10,Łódzkie,559
2020-08-10,Warmińsko-Mazurskie,279
2020-08-10,Kujawsko-Pomorskie,404
2020-08-10,Opolskie,193
2020-08-10,Dolnośląskie,598
2020-08-10,Lubuskie,232
2020-08-10,Zachodniopomorskie,337
2020-08-10,Wielkopolskie,627
2020-08-10,Śląskie,964
2020-08-10,Małopolskie,616
2020-08-17,Mazowieckie,635464
2020-08-17,Podlaskie,240
2020-08-17,Podkarpackie,417
2020-08-17,Lubelskie,414
2020-08-17,Świętokrzyskie,264
2020-08-17,Łódzkie,600
2020-08-17,Pomorskie,390
2020-08-17,Warmińsko-Mazurskie,274
2020-08-17,Opolskie,203
2020-08-17,Dolnośląskie,614
2020-08-17,Lubuskie,201
2020-08-17,Zachodniopomorskie,376
2020-08-17,Wielkopolskie,665
2020-08-17,Śląskie,986
2020-08-17,Małopolskie,646
2020-08-17,Kujawsko-Pomorskie,396
2020-08-24,Pomorskie,433
2020-08-24,Mazowieckie,656481
2020-08-24,Podlaskie,220
2020-08-24,Podkarpackie,394
2020-08-24,Lubelskie,445
2020-08-24,Świętokrzyskie,284
2020-08-24,Łódzkie,586
2020-08-24,Warmińsko-Mazurskie,256
2020-08-24,Małopolskie,633
2020-08-24,Opolskie,219
2020-08-24,Dolnośląskie,621
2020-08-24,Lubuskie,221
2020-08-24,Zachodniopomorskie,370
2020-08-24,Wielkopolskie,658
2020-08-24,Śląskie,1064
2020-08-24,Kujawsko-Pomorskie,408
2020-08-31,Pomorskie,402
2020-08-31,Mazowieckie,652477
2020-08-31,Podlaskie,215
2020-08-31,Podkarpackie,396
2020-08-31,Lubelskie,454
2020-08-31,Świętokrzyskie,263
2020-08-31,Łódzkie,613
2020-08-31,Warmińsko-Mazurskie,279
2020-08-31,Kujawsko-Pomorskie,446
2020-08-31,Opolskie,239
2020-08-31,Dolnośląskie,672
2020-08-31,Lubuskie,217
2020-08-31,Zachodniopomorskie,360
2020-08-31,Wielkopolskie,690
2020-08-31,Śląskie,1062
2020-08-31,Małopolskie,629
2020-09-07,Podlaskie,231
2020-09-07,Podkarpackie,380
2020-09-07,Lubelskie,422
2020-09-07,Świętokrzyskie,270
2020-09-07,Łódzkie,628
2020-09-07,Pomorskie,420
2020-09-07,Warmińsko-Mazurskie,282
2020-09-07,Mazowieckie,616535
2020-09-07,Opolskie,211
2020-09-07,Dolnośląskie,578
2020-09-07,Lubuskie,220
2020-09-07,Zachodniopomorskie,404
2020-09-07,Wielkopolskie,674
2020-09-07,Śląskie,1016
2020-09-07,Małopolskie,643
2020-09-07,Kujawsko-Pomorskie,416
2020-09-14,Mazowieckie,613457
2020-09-14,Podlaskie,203
2020-09-14,Podkarpackie,353
2020-09-14,Lubelskie,417
2020-09-14,Świętokrzyskie,242
2020-09-14,Łódzkie,537
2020-09-14,Pomorskie,407
2020-09-14,Warmińsko-Mazurskie,301
2020-09-14,Kujawsko-Pomorskie,423
2020-09-14,Dolnośląskie,547
2020-09-14,Lubuskie,155
2020-09-14,Zachodniopomorskie,349
2020-09-14,Wielkopolskie,657
2020-09-14,Śląskie,968
2020-09-14,Małopolskie,634
2020-09-14,Opolskie,175
2020-09-21,Łódzkie,572
2020-09-21,Mazowieckie,569510
2020-09-21,Podlaskie,225
2020-09-21,Podkarpackie,357
2020-09-21,Lubelskie,384
2020-09-21,Świętokrzyskie,273
2020-09-21,Pomorskie,419
2020-09-21,Warmińsko-Mazurskie,256
2020-09-21,Opolskie,198
2020-09-21,Dolnośląskie,617
2020-09-21,Lubuskie,222
