date,location,hosp_patients,total_beds,icu_patients,total_resp,used_beds,used_resp
2020-11-01,warmińsko-mazurskie,411.944,884,37,77,46.6,48.1
2020-11-01,wielkopolskie,1291.458,1902,102,205,67.9,49.8
2020-11-01,zachodniopomorskie,688.5090000000001,1017,66,86,67.7,76.7
2020-11-01,łódzkie,1473.3880000000001,2084,100,179,70.7,55.9
2020-11-01,śląskie,1685.922,2051,139,180,82.2,77.2
2020-11-01,świętokrzyskie,828.9960000000001,994,55,85,83.4,64.7
2020-11-02,dolnośląskie,1252.972,2044,107,114,61.3,93.9
2020-11-02,kujawsko-pomorskie,941.773,1387,86,112,67.9,76.8
2020-11-02,lubelskie,1314.6419999999998,1582,117,129,83.1,90.7
2020-11-02,lubuskie,595.4760000000001,973,37,49,61.2,75.5
2020-11-02,mazowieckie,2035.046,2699,195,201,75.4,97.0
2020-11-02,małopolskie,2431.38,2940,239,254,82.7,94.1
2020-11-02,opolskie,482.44599999999997,926,33,39,52.1,84.6
2020-11-02,podkarpackie,1163.646,1959,96,131,59.4,73.3
2020-11-02,podlaskie,681.6419999999999,971,56,65,70.2,86.2
2020-11-02,polska,18147.402000000002,25851,1551,1999,70.2,77.6
2020-11-02,pomorskie,708.12,1260,54,63,56.2,85.7
2020-11-02,warmińsko-mazurskie,422.21200000000005,887,44,82,47.6,53.7
2020-11-02,wielkopolskie,1332.9919999999997,2032,111,211,65.6,52.6
2020-11-02,zachodniopomorskie,696.645,1017,71,86,68.5,82.6
2020-11-02,łódzkie,1473.3880000000001,2084,100,179,70.7,55.9
2020-11-02,śląskie,1749.6760000000002,2078,152,199,84.2,76.4
2020-11-02,świętokrzyskie,862.224,1012,53,85,85.2,62.4
2020-11-03,dolnośląskie,1301.3,2366,109,135,55.0,80.7
2020-11-03,kujawsko-pomorskie,932.3009999999999,1459,92,114,63.9,80.7
2020-11-03,lubelskie,1378.616,1772,123,147,77.8,83.7
2020-11-03,lubuskie,587.8560000000001,993,41,49,59.2,83.7
2020-11-03,mazowieckie,2105.3650000000002,2635,193,201,79.9,96.0
2020-11-03,małopolskie,2535.55,2983,256,268,85.0,95.5
2020-11-03,opolskie,518.787,977,30,39,53.1,76.9
2020-11-03,podkarpackie,1028.58,1860,103,132,55.3,78.0
2020-11-03,podlaskie,702.5,1250,55,70,56.2,78.6
2020-11-03,polska,18660.187,27083,1627,2102,68.9,77.4
2020-11-03,pomorskie,738.9689999999999,1371,63,67,53.9,94.0
2020-11-03,warmińsko-mazurskie,443.11799999999994,897,35,92,49.4,38.0
2020-11-03,wielkopolskie,1342.132,2068,130,215,64.9,60.5
2020-11-03,zachodniopomorskie,719.175,1075,64,86,66.9,74.4
2020-11-03,łódzkie,1473.3880000000001,2084,100,179,70.7,55.9
2020-11-03,śląskie,1938.244,2233,156,208,86.8,75.0
2020-11-03,świętokrzyskie,916.9,1060,77,100,86.5,77.0
