date,year,total,age,short,location,typ,country
2019-01-07,2019,0.0,UNK,PT,Portugalia,C,Portugal
2019-01-07,2019,947.0,Y_GE80,AT,Austria,C,Austria
2019-01-07,2019,362.0,Y60-79,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,38.0,Y60-79,CY,Cypr,C,Cyprus
2019-01-07,2019,1005.0,Y60-79,CZ,Czechy,C,Czech Republic
2019-01-07,2019,6275.0,Y60-79,GE,Niemcy,C,Germany
2019-01-07,2019,448.0,Y60-79,DK,Dania,C,Denmark
2019-01-07,2019,142.0,Y60-79,EE,Estonia,C,Estonia
2019-01-07,2019,729.0,Y60-79,EL,Grecja,C,Greece
2019-01-07,2019,2467.0,Y60-79,ES,Hiszpania,C,Spain
2019-01-07,2019,424.0,Y60-79,FI,Finlandia,C,Finland
2019-01-07,2019,1089.0,Y60-79,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,3549.0,Y60-79,FR,Francja,C,France
2019-01-07,2019,1344.0,Y60-79,HU,Węgry,C,Hungary
2019-01-07,2019,11.0,Y60-79,IS,Islandia,C,Iceland
2019-01-07,2019,3945.0,Y60-79,IT,Włochy,C,Italy
2019-01-07,2019,1.0,Y60-79,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,321.0,Y60-79,LT,Litwa,C,Lithuania
2019-01-07,2019,30.0,Y60-79,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,227.0,Y60-79,LV,Łotwa,C,Latvia
2019-01-07,2019,56.0,Y60-79,ME,Montegegro,C,Montegegro
2019-01-07,2019,38.0,Y60-79,MT,Malta,C,Malta
2019-01-07,2019,443.0,Y60-79,HR,Chorwacja,C,Croatia
2019-01-07,2019,703.0,Y60-79,BE,Belgia,C,Belgium
2019-01-07,2019,533.0,Y60-79,AT,Austria,C,Austria
2019-01-07,2019,202.0,Y60-79,AL,Albania,C,Albania
2019-01-07,2019,244.0,Y_GE80,AL,Albania,C,Albania
2019-01-07,2019,4061.0,Y60-79,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,502.0,Y60-79,SK,Słowacja,C,Slovakia
2019-01-07,2019,155.0,Y60-79,SI,Słowenia,C,Slovenia
2019-01-07,2019,621.0,Y60-79,SE,Szwecja,C,Sweden
2019-01-07,2019,1005.0,Y60-79,RS,Serbia,C,Serbia
2019-01-07,2019,2486.0,Y60-79,RO,Rumunia,C,Romania
2019-01-07,2019,786.0,Y60-79,PT,Portugalia,C,Portugal
2019-01-07,2019,3591.0,Y60-79,PL,Polska,C,Poland
2019-01-07,2019,15.0,Y40-59,ME,Montegegro,C,Montegegro
2019-01-07,2019,5.0,Y40-59,MT,Malta,C,Malta
2019-01-07,2019,192.0,Y40-59,NL,Holandia,C,Netherlands
2019-01-07,2019,51.0,Y40-59,NO,Norwegia,C,Norway
2019-01-07,2019,1073.0,Y40-59,PL,Polska,C,Poland
2019-01-07,2019,201.0,Y40-59,PT,Portugalia,C,Portugal
2019-01-07,2019,735.0,Y40-59,RO,Rumunia,C,Romania
2019-01-07,2019,184.0,Y40-59,RS,Serbia,C,Serbia
2019-01-07,2019,104.0,Y40-59,SE,Szwecja,C,Sweden
2019-01-07,2019,33.0,Y40-59,SI,Słowenia,C,Slovenia
2019-01-07,2019,149.0,Y40-59,SK,Słowacja,C,Slovakia
2019-01-07,2019,905.0,Y40-59,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,1383.0,Y_GE80,BE,Belgia,C,Belgium
2019-01-07,2019,11.0,Y_LT20,HU,Węgry,C,Hungary
2019-01-07,2019,0.0,Y_LT20,IS,Islandia,C,Iceland
2019-01-07,2019,45.0,Y_LT20,IT,Włochy,C,Italy
2019-01-07,2019,0.0,Y20-39,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,10.0,Y20-39,LV,Łotwa,C,Latvia
2019-01-07,2019,2.0,Y20-39,ME,Montegegro,C,Montegegro
2019-01-07,2019,0.0,Y20-39,MT,Malta,C,Malta
2019-01-07,2019,47.0,Y20-39,NL,Holandia,C,Netherlands
2019-01-07,2019,10.0,Y20-39,NO,Norwegia,C,Norway
2019-01-07,2019,234.0,Y20-39,PL,Polska,C,Poland
2019-01-07,2019,24.0,Y20-39,PT,Portugalia,C,Portugal
2019-01-07,2019,85.0,Y20-39,RO,Rumunia,C,Romania
2019-01-07,2019,21.0,Y20-39,LT,Litwa,C,Lithuania
2019-01-07,2019,30.0,Y20-39,RS,Serbia,C,Serbia
2019-01-07,2019,9.0,Y20-39,SI,Słowenia,C,Slovenia
2019-01-07,2019,30.0,Y20-39,SK,Słowacja,C,Slovakia
2019-01-07,2019,169.0,Y20-39,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,43.0,Y40-59,AL,Albania,C,Albania
2019-01-07,2019,130.0,Y40-59,AT,Austria,C,Austria
2019-01-07,2019,171.0,Y40-59,BE,Belgia,C,Belgium
2019-01-07,2019,288.0,Y40-59,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,80.0,Y40-59,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,12.0,Y40-59,CY,Cypr,C,Cyprus
2019-01-07,2019,19.0,Y20-39,SE,Szwecja,C,Sweden
2019-01-07,2019,0.0,Y20-39,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,94.0,Y20-39,IT,Włochy,C,Italy
2019-01-07,2019,2.0,Y20-39,IS,Islandia,C,Iceland
2019-01-07,2019,1.0,UNK,RS,Serbia,C,Serbia
2019-01-07,2019,0.0,UNK,SE,Szwecja,C,Sweden
2019-01-07,2019,0.0,UNK,SI,Słowenia,C,Slovenia
2019-01-07,2019,0.0,UNK,SK,Słowacja,C,Slovakia
2019-01-07,2019,0.0,UNK,UK,Wielka Brytania,C,United Kingdom
2019-01-07,2019,10.0,Y20-39,AL,Albania,C,Albania
2019-01-07,2019,27.0,Y20-39,AT,Austria,C,Austria
