location,geo_type,transportation_type,country,date,mobility
Dolnośląskie,sub-region,driving,Polska,2020-04-26,57.75
Dolnośląskie,sub-region,walking,Polska,2020-04-26,47.81
Dolnośląskie,sub-region,driving,Polska,2020-04-27,65.68
Dolnośląskie,sub-region,walking,Polska,2020-04-27,50.87
Dolnośląskie,sub-region,driving,Polska,2020-04-28,64.38
Dolnośląskie,sub-region,walking,Polska,2020-04-28,55.05
Dolnośląskie,sub-region,driving,Polska,2020-04-29,61.23
Dolnośląskie,sub-region,walking,Polska,2020-04-29,38.43
Dolnośląskie,sub-region,driving,Polska,2020-04-30,68.29
Dolnośląskie,sub-region,walking,Polska,2020-04-30,56.55
Dolnośląskie,sub-region,driving,Polska,2020-05-01,58.41
Dolnośląskie,sub-region,walking,Polska,2020-05-01,48.1
Dolnośląskie,sub-region,driving,Polska,2020-05-02,58.27
Dolnośląskie,sub-region,walking,Polska,2020-05-02,42.11
Dolnośląskie,sub-region,driving,Polska,2020-05-03,61.79
Dolnośląskie,sub-region,walking,Polska,2020-05-03,41.79
Dolnośląskie,sub-region,driving,Polska,2020-05-04,63.33
Dolnośląskie,sub-region,walking,Polska,2020-05-04,46.97
Dolnośląskie,sub-region,driving,Polska,2020-05-05,64.4
Dolnośląskie,sub-region,walking,Polska,2020-05-05,46.24
Dolnośląskie,sub-region,driving,Polska,2020-05-06,68.8
Dolnośląskie,sub-region,walking,Polska,2020-05-06,50.22
Dolnośląskie,sub-region,driving,Polska,2020-05-07,76.12
Dolnośląskie,sub-region,walking,Polska,2020-05-07,54.42
Dolnośląskie,sub-region,driving,Polska,2020-05-08,86.59
Dolnośląskie,sub-region,walking,Polska,2020-05-08,66.49
Dolnośląskie,sub-region,driving,Polska,2020-05-09,84.22
Dolnośląskie,sub-region,walking,Polska,2020-05-09,71.99
Dolnośląskie,sub-region,driving,Polska,2020-05-10,77.77
Dolnośląskie,sub-region,walking,Polska,2020-05-10,63.54
Dolnośląskie,sub-region,driving,Polska,2020-05-11,
Dolnośląskie,sub-region,walking,Polska,2020-05-11,45.06
Dolnośląskie,sub-region,driving,Polska,2020-05-12,
Dolnośląskie,sub-region,walking,Polska,2020-05-12,34.82
Dolnośląskie,sub-region,driving,Polska,2020-05-13,77.85
Dolnośląskie,sub-region,walking,Polska,2020-05-13,56.41
Dolnośląskie,sub-region,driving,Polska,2020-05-14,77.14
Dolnośląskie,sub-region,walking,Polska,2020-05-14,56.64
Dolnośląskie,sub-region,driving,Polska,2020-05-15,92.17
Dolnośląskie,sub-region,walking,Polska,2020-05-15,72.71
Dolnośląskie,sub-region,driving,Polska,2020-05-16,81.62
Dolnośląskie,sub-region,walking,Polska,2020-05-16,70.87
Dolnośląskie,sub-region,driving,Polska,2020-05-17,90.54
Dolnośląskie,sub-region,walking,Polska,2020-05-17,78.27
Dolnośląskie,sub-region,driving,Polska,2020-05-18,84.37
Dolnośląskie,sub-region,walking,Polska,2020-05-18,72.19
Dolnośląskie,sub-region,driving,Polska,2020-05-19,85.73
Dolnośląskie,sub-region,walking,Polska,2020-05-19,71.28
Dolnośląskie,sub-region,driving,Polska,2020-05-20,98.59
Dolnośląskie,sub-region,walking,Polska,2020-05-20,75.01
Dolnośląskie,sub-region,driving,Polska,2020-05-21,101.04
Dolnośląskie,sub-region,walking,Polska,2020-05-21,82.95
Dolnośląskie,sub-region,driving,Polska,2020-05-22,102.15
Dolnośląskie,sub-region,walking,Polska,2020-05-22,87.88
Dolnośląskie,sub-region,driving,Polska,2020-05-23,77.66
Dolnośląskie,sub-region,walking,Polska,2020-05-23,58.62
Dolnośląskie,sub-region,driving,Polska,2020-05-24,93.9
Dolnośląskie,sub-region,walking,Polska,2020-05-24,59.7
Dolnośląskie,sub-region,driving,Polska,2020-05-25,89.79
Dolnośląskie,sub-region,walking,Polska,2020-05-25,64.54
Dolnośląskie,sub-region,driving,Polska,2020-05-26,96.28
Dolnośląskie,sub-region,walking,Polska,2020-05-26,74.44
Dolnośląskie,sub-region,driving,Polska,2020-05-27,97.19
Dolnośląskie,sub-region,walking,Polska,2020-05-27,76.69
Dolnośląskie,sub-region,driving,Polska,2020-05-28,99.7
