JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_1202042,brzeski (małopolskie),915,135,1010,1481,864,14751,3211,"21,8",4405,Dębno,małopolskie,<20k
JPT_3210033,myśliborski,1475,237,1356,2322,1669,20386,5644,"27,7",7059,Dębno,zachodniopomorskie,20k-50k
JPT_0613012,parczewski,267,27,233,339,300,3880,914,"23,6",1166,Dębowa Kłoda,lubelskie,<20k
JPT_0417022,wąbrzeski,225,24,186,415,207,3154,781,"24,8",1057,Dębowa Łąka,kujawsko-pomorskie,<20k
JPT_2403062,cieszyński,372,115,544,816,481,5845,1586,"27,1",2328,Dębowiec,śląskie,<20k
JPT_1805032,jasielski,542,50,421,834,498,8844,1919,"21,7",2345,Dębowiec,podkarpackie,<20k
JPT_1435022,wyszkowski,556,76,486,903,522,7768,1828,"23,5",2543,Długosiodło,mazowieckie,<20k
JPT_0223022,wrocławski,2189,1056,5649,6846,2718,35144,14696,"41,8",18459,Długołęka,dolnośląskie,20k-50k
JPT_1008032,pabianicki,420,80,378,648,407,4692,1536,"32,7",1933,Dłutów,łódzkie,<20k
JPT_2817022,szczycieński,480,54,432,794,571,6463,1684,"26,1",2331,Dźwierzuty,warmińsko-mazurskie,<20k
JPT_2861000,Elbląg,12663,2235,11384,17449,13025,118582,45529,"38,4",56756,Elbląg,warmińsko-mazurskie,>100k
JPT_2804012,elbląski,410,136,602,1034,672,7593,2132,"28,1",2854,Elbląg,warmińsko-mazurskie,<20k
JPT_2805011,ełcki,4552,772,4617,6885,5035,61903,17590,"28,4",21861,Ełk,warmińsko-mazurskie,50k-100k
JPT_0418072,włocławski,594,205,871,1635,882,10178,3184,"31,3",4187,Fabianki,kujawsko-pomorskie,<20k
JPT_0606022,krasnostawski,428,27,260,448,346,4549,1165,"25,6",1509,Fajsławice,lubelskie,<20k
JPT_2605012,konecki,478,32,275,487,383,4328,1168,27,1655,Fałków,świętokrzyskie,<20k
JPT_2012022,suwalski,346,30,247,400,339,4212,1111,"26,4",1362,Filipów,podlaskie,<20k
JPT_0608032,lubartowski,424,46,285,499,363,5840,1231,"21,1",1617,Firlej,lubelskie,<20k
JPT_0602053,biłgorajski,523,58,296,577,455,6059,1498,"24,7",1909,Frampol,lubelskie,<20k
JPT_1813032,przemyski,356,40,301,547,370,5393,1233,"22,9",1614,Fredropol,podkarpackie,<20k
JPT_2802033,braniewski,304,31,282,466,344,3515,1109,"31,6",1427,Frombork,warmińsko-mazurskie,<20k
JPT_1819022,strzyżowski,535,59,499,754,516,10338,1982,"19,2",2363,Frysztak,podkarpackie,<20k
JPT_1018032,wieruszowski,482,60,469,832,512,6096,1890,31,2355,Galewice,łódzkie,<20k
