date,reproduction_rate,epiestim,location
2020-10-09,1.6349,1.5297,Polska
2020-10-10,1.6888,1.637,Polska
2020-10-11,1.7116,1.6287,Polska
2020-10-12,1.733,1.5526,Polska
2020-10-13,1.759,1.5056,Polska
2020-10-14,1.7745,1.4676,Polska
2020-10-15,1.7471,1.488,Polska
2020-10-16,1.6885,1.4671,Polska
2020-10-17,1.6726,1.4725,Polska
2020-10-18,1.6882,1.4485,Polska
2020-10-19,1.6656,1.3847,Polska
2020-10-20,1.6601,1.3875,Polska
2020-10-21,1.6139,1.333,Polska
2020-10-22,1.5658,1.297,Polska
2020-10-23,1.5728,1.3332,Polska
2020-10-24,1.5234,1.3048,Polska
2020-10-25,1.4873,1.2821,Polska
2020-10-26,1.4621,1.2454,Polska
2020-10-27,1.4885,1.2401,Polska
2020-10-28,1.5254,1.2912,Polska
2020-10-29,1.5271,1.3413,Polska
2020-10-30,1.5168,1.3946,Polska
2020-10-31,1.5122,1.3774,Polska
2020-11-01,1.4936,1.3083,Polska
2020-11-02,1.4859,1.2586,Polska
2020-11-03,1.4257,1.1964,Polska
2020-11-04,1.3938,1.1631,Polska
2020-11-05,1.3749,1.1684,Polska
2020-11-06,1.3447,1.1625,Polska
2020-11-07,1.3255,1.1805,Polska
2020-11-08,1.3339,1.1853,Polska
2020-11-09,1.3351,1.1708,Polska
2020-11-10,1.3262,1.1688,Polska
2020-11-11,1.2704,1.1282,Polska
2020-11-12,1.1906,1.0498,Polska
2020-11-13,1.1364,0.9949,Polska
2020-11-14,1.097,0.9481,Polska
2020-11-15,1.0636,0.929,Polska
2020-11-16,1.0493,0.9476,Polska
2020-11-17,1.0017,0.9276,Polska
2020-11-18,0.9672,0.9087,Polska
2020-11-19,0.9805,0.9325,Polska
2020-11-20,0.9734,0.928,Polska
2020-11-21,0.9691,0.9561,Polska
2020-11-22,0.948,0.9633,Polska
2020-11-23,0.913,0.9139,Polska
2020-11-24,1.0219,1.0157,Polska
2020-11-25,0.9912,0.9951,Polska
2020-11-26,0.9452,0.9728,Polska
2020-11-27,0.9174,0.9787,Polska
2020-11-28,0.8685,0.8319,Polska
2020-11-29,0.8389,0.8146,Polska
2020-11-30,0.7892,0.7958,Polska
2020-12-01,0.6382,0.6523,Polska
2020-12-02,0.6684,0.686,Polska
2020-12-03,0.6963,0.7065,Polska
2020-12-04,0.7036,0.7265,Polska
2020-12-05,0.7157,0.8905,Polska
2020-12-06,0.7217,0.8796,Polska
2020-12-07,0.723,0.8833,Polska
2020-12-08,0.7399,0.9142,Polska
2020-12-09,0.7588,0.9244,Polska
2020-12-10,0.785,0.9377,Polska
2020-12-11,0.8146,0.952,Polska
2020-12-12,0.8292,0.9497,Polska
2020-12-13,0.8444,0.9685,Polska
2020-12-14,0.8583,0.9893,Polska
2020-12-15,0.8548,0.9719,Polska
2020-12-16,0.8827,0.9883,Polska
2020-12-17,0.8801,0.9662,Polska
2020-12-18,0.8729,0.9311,Polska
2020-12-19,0.8889,0.9462,Polska
2020-12-20,0.897,0.9371,Polska
2020-12-21,0.9003,0.9574,Polska
2020-12-22,0.9147,0.9913,Polska
2020-12-23,0.9298,0.9933,Polska
2020-12-24,0.9596,1.0163,Polska
2020-12-25,0.9397,0.9913,Polska
2020-12-26,0.8618,0.8944,Polska
2020-12-27,0.8048,0.8223,Polska
2020-12-28,0.7956,0.7874,Polska
2020-12-29,0.8347,0.8213,Polska
2020-12-30,0.8826,0.9163,Polska
2020-12-31,0.9148,1.0032,Polska
2021-01-01,0.9585,1.0657,Polska
2021-01-02,0.9915,1.0865,Polska
2021-01-03,1.0252,1.1122,Polska
2021-01-04,1.0448,1.1286,Polska
2021-01-05,1.035,1.0855,Polska
2021-01-06,1.0512,1.0709,Polska
2021-01-07,1.0213,1.0128,Polska
2021-01-08,0.9858,0.9574,Polska
2021-01-09,1.0442,1.0199,Polska
2021-01-10,1.0969,1.0587,Polska
2021-01-11,1.0937,1.0847,Polska
2021-01-12,1.0492,1.0905,Polska
2021-01-13,0.9519,0.948,Polska
2021-01-14,0.9181,0.857,Polska
2021-01-15,0.9137,0.8398,Polska
2021-01-16,0.8761,0.8181,Polska
2021-01-17,0.8379,0.8317,Polska
2021-01-18,0.8264,0.8461,Polska
2021-01-19,0.83,0.848,Polska
2021-01-20,0.8162,0.8579,Polska
2021-01-21,0.8028,0.8698,Polska
2021-01-22,0.8085,0.8702,Polska
2021-01-23,0.8134,0.8608,Polska
2021-01-24,0.8069,0.8709,Polska
2021-01-25,0.8012,0.8971,Polska
2021-01-26,0.8172,0.9162,Polska
2021-01-27,0.8435,0.9372,Polska
2021-01-28,0.8696,0.9696,Polska
2021-01-29,0.878,0.9781,Polska
2021-01-30,0.8852,0.9721,Polska
2021-01-31,0.8983,0.976,Polska
2021-02-01,0.9064,0.9781,Polska
2021-02-02,0.9105,0.9835,Polska
2021-02-03,0.9276,0.9958,Polska
2021-02-04,0.9245,0.9777,Polska
2021-02-05,0.9344,0.9731,Polska
2021-02-06,0.9471,0.983,Polska
2021-02-07,0.9544,0.9833,Polska
2021-02-08,0.9557,0.9989,Polska
2021-02-09,0.9533,0.9933,Polska
2021-02-10,0.9669,0.9941,Polska
2021-02-11,0.9877,1.0073,Polska
2021-02-12,0.9992,1.0182,Polska
2021-02-13,1.0161,1.0435,Polska
2021-02-14,1.0301,1.0564,Polska
2021-02-15,1.0315,1.0448,Polska
2021-02-16,1.0601,1.0664,Polska
2021-02-17,1.0978,1.0953,Polska
2021-02-18,1.1331,1.1315,Polska
2021-02-19,1.1692,1.1901,Polska
2021-02-20,1.1868,1.204,Polska
2021-02-21,1.2013,1.1939,Polska
2021-02-22,1.2183,1.1684,Polska
2021-02-23,1.2171,1.1322,Polska
2021-02-24,1.2498,1.1587,Polska
2021-02-25,1.263,1.1807,Polska
2021-02-26,1.2686,1.2036,Polska
2021-02-27,1.288,1.2462,Polska
2021-02-28,1.302,1.2239,Polska
2021-03-01,1.296,1.1753,Polska
2021-03-02,1.2894,1.149,Polska
2021-03-03,1.2855,1.1402,Polska
2021-03-04,1.2761,1.1346,Polska
2021-03-05,1.2883,1.182,Polska
2021-03-06,1.2754,1.1937,Polska
2021-03-07,1.2815,1.1834,Polska
2021-03-08,1.2808,1.1538,Polska
2021-03-09,1.2759,1.1179,Polska
2021-03-10,1.2358,1.0999,Polska
2021-03-11,1.2599,1.1222,Polska
2021-03-12,1.2443,1.1378,Polska
2021-03-13,1.2685,1.1805,Polska
2021-03-14,1.2666,1.2004,Polska
2021-03-15,1.2943,1.1779,Polska
2021-03-16,1.3063,1.1875,Polska
2021-03-17,1.3253,1.1916,Polska
2021-03-18,1.313,1.2081,Polska
2021-03-19,1.3187,1.2211,Polska
2021-03-20,1.3028,1.2205,Polska
2021-03-21,1.2942,1.1822,Polska
2021-03-22,1.2953,1.1547,Polska
2021-03-23,1.2782,1.1125,Polska
2021-03-24,1.2584,1.1055,Polska
2021-03-25,1.2533,1.1174,Polska
2021-03-26,1.2664,1.1497,Polska
2021-03-27,1.2531,1.1665,Polska
2021-03-28,1.2613,1.1767,Polska
2021-03-29,1.2518,1.1431,Polska
2021-03-30,1.2495,1.1078,Polska
2021-03-31,1.2193,1.0913,Polska
2021-04-01,1.181,1.0549,Polska
2021-04-02,1.1212,1.0182,Polska
2021-04-03,1.0816,0.9784,Polska
2021-04-04,1.0366,0.9329,Polska
2021-04-05,0.996,0.8929,Polska
2021-04-06,0.9235,0.8497,Polska
2021-04-07,0.8253,0.7732,Polska
2021-04-08,0.8161,0.7599,Polska
2021-04-09,0.8379,0.7783,Polska
2021-04-10,0.8459,0.8177,Polska
2021-04-11,0.8599,0.9074,Polska
2021-04-12,0.8817,0.9691,Polska
2021-04-13,0.9215,1.0187,Polska
2021-04-14,0.9751,1.0891,Polska
2021-04-15,0.9337,1.0493,Polska
2021-04-16,0.8733,0.9562,Polska
2021-04-17,0.8304,0.8594,Polska
2021-04-18,0.7859,0.7589,Polska
2021-04-19,0.7677,0.7616,Polska
2021-04-20,0.7579,0.7929,Polska
2021-04-21,0.7339,0.7917,Polska
2021-04-22,0.7036,0.7845,Polska
2021-04-23,0.6819,0.7544,Polska
2021-04-24,0.6636,0.7233,Polska
2021-04-25,0.6494,0.7273,Polska
2021-04-26,0.6314,0.7526,Polska
2021-04-27,0.6239,0.7736,Polska
2021-04-28,0.6167,0.7711,Polska
2021-04-29,0.6146,0.7636,Polska
2021-04-30,0.6077,0.7467,Polska
2021-05-01,0.6098,0.7404,Polska
2021-05-02,0.6066,0.7596,Polska
2021-05-03,0.6104,0.8034,Polska
2021-05-04,0.5822,0.8004,Polska
2021-05-05,0.5437,0.7457,Polska
2021-05-06,0.5698,0.7445,Polska
2021-05-07,0.6074,0.7431,Polska
2021-05-08,0.6179,0.7639,Polska
2021-05-09,0.6353,0.8513,Polska
2021-05-10,0.6428,0.8878,Polska
2021-05-11,0.6836,0.9332,Polska
2021-05-12,0.725,0.997,Polska
2021-05-13,0.6925,0.9318,Polska
2021-05-14,0.6587,0.8534,Polska
2021-05-15,0.6443,0.7686,Polska
2021-05-16,0.6275,0.7043,Polska
2021-05-17,0.6177,0.7395,Polska
2021-05-18,0.6036,0.7665,Polska
2021-05-19,0.583,0.7459,Polska
2021-05-20,0.5678,0.7278,Polska
2021-05-21,0.5478,0.6822,Polska
2021-05-22,0.5329,0.6588,Polska
2021-05-23,0.5188,0.6685,Polska
