bin,date,type,count
3,2020-12-20,H,15
1,2020-12-20,H,8
2,2020-12-20,H,8
7,2020-12-21,H,257
5,2020-12-21,H,51
6,2020-12-21,H,43
4,2020-12-21,H,35
3,2020-12-21,H,28
2,2020-12-21,H,12
1,2020-12-21,H,10
7,2020-12-22,H,250
5,2020-12-22,H,50
6,2020-12-22,H,33
4,2020-12-22,H,31
3,2020-12-22,H,19
1,2020-12-22,H,18
2,2020-12-22,H,11
7,2020-12-23,H,249
5,2020-12-23,H,64
4,2020-12-23,H,36
6,2020-12-23,H,34
3,2020-12-23,H,27
2,2020-12-23,H,16
1,2020-12-23,H,10
7,2020-12-24,H,222
5,2020-12-24,H,43
6,2020-12-24,H,35
4,2020-12-24,H,21
3,2020-12-24,H,18
1,2020-12-24,H,12
2,2020-12-24,H,9
7,2020-12-25,H,211
5,2020-12-25,H,31
6,2020-12-25,H,24
4,2020-12-25,H,22
3,2020-12-25,H,17
2,2020-12-25,H,10
1,2020-12-25,H,9
7,2020-12-26,H,206
5,2020-12-26,H,37
6,2020-12-26,H,27
4,2020-12-26,H,21
3,2020-12-26,H,19
1,2020-12-26,H,8
2,2020-12-26,H,8
7,2020-12-27,H,218
5,2020-12-27,H,38
6,2020-12-27,H,24
4,2020-12-27,H,23
3,2020-12-27,H,20
1,2020-12-27,H,9
2,2020-12-27,H,8
7,2020-12-28,H,265
5,2020-12-28,H,57
6,2020-12-28,H,47
4,2020-12-28,H,42
3,2020-12-28,H,29
1,2020-12-28,H,18
2,2020-12-28,H,8
7,2020-12-29,H,252
5,2020-12-29,H,50
4,2020-12-29,H,42
6,2020-12-29,H,39
3,2020-12-29,H,27
2,2020-12-29,H,12
1,2020-12-29,H,11
7,2020-12-30,H,263
5,2020-12-30,H,48
6,2020-12-30,H,42
4,2020-12-30,H,39
3,2020-12-30,H,14
2,2020-12-30,H,13
1,2020-12-30,H,12
7,2020-12-31,H,242
5,2020-12-31,H,51
6,2020-12-31,H,34
4,2020-12-31,H,31
3,2020-12-31,H,19
1,2020-12-31,H,9
2,2020-12-31,H,6
7,2021-01-01,H,208
5,2021-01-01,H,38
4,2021-01-01,H,31
6,2021-01-01,H,23
3,2021-01-01,H,20
1,2021-01-01,H,14
2,2021-01-01,H,4
7,2021-01-02,H,200
5,2021-01-02,H,37
6,2021-01-02,H,28
3,2021-01-02,H,22
4,2021-01-02,H,18
1,2021-01-02,H,10
2,2021-01-02,H,7
7,2021-01-03,H,201
5,2021-01-03,H,36
6,2021-01-03,H,27
4,2021-01-03,H,19
3,2021-01-03,H,17
1,2021-01-03,H,14
2,2021-01-03,H,9
7,2021-01-04,H,252
