Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Secondary,1,26.04.2021,St Aidan's C.B.S.,"Whitehall, D9",Dublin,Dublin City Council,D09XT54,Dublin,60481I,-6.2431944,53.382668
Secondary,1,26.04.2021,St Kevin's College,"Finglas, D11",Dublin,Dublin City Council,D11VF10,Dublin,60581M,-6.2992966,53.3902233
Primary,1,26.04.2021,Lusk JNS,Lusk,Dublin,Fingal County Council,,Dublin,20509D,-6.1658125,53.5255827
Secondary,1,26.04.2021,Castleknock Comm. College,"Castleknock, D15",Dublin,Fingal County Council,D15A996,Dublin,76062B,-6.3714239,53.3815285
Primary,1,26.04.2021,Holywell Educate Together National School,Swords,Dublin,Fingal County Council,K67AP99,Dublin,20348F,-6.2184562,53.4598264
Primary,1,26.04.2021,Scoil Maelruain Senior,"Tallaght, D24",Dublin,South Dublin County Council,D24EV18,Dublin,19463V,-6.3746438,53.2874685
Secondary,1,26.04.2021,Old Bawn Comm. School,"Tallaght, D24",Dublin,South Dublin County Council,D24HP38,Dublin,91336W,-6.3746438,53.2874685
Primary,1,26.04.2021,Citywest & Saggart Community National School,"Citywest, D24",Dublin,South Dublin County Council,D24R920,Dublin,20398U,-6.2588127,53.3398632
Primary,1,26.04.2021,Lucan ETNS,Lucan,Dublin,South Dublin County Council,K78C922,Dublin,20066S,-6.4501534,53.3567157
Secondary,1,26.04.2021,St Brigid's College,Loughrea,Galway,Galway County Council,H62XF63,Connacht,71280J,-8.5690594,53.1981624
Primary,1,26.04.2021,St Conleths And Marys NS,Newbridge,Kildare,Kildare County Council,W12VN26,Leinster,17872F,-6.7982137,53.180124
Secondary,3,26.04.2021,Patrician Secondary School,Newbridge,Kildare,Kildare County Council,W12XV38,Leinster,61681V,-6.7982137,53.180124
Secondary,3,26.04.2021,Holy Family Secondary School,Newbridge,Kildare,Kildare County Council,W12YD71,Leinster,61682A,-6.7982137,53.180124
Primary,1,26.04.2021,St Raphael's Special School,CELBRIDGE,Kildare,Kildare County Council,W23F2P5,Leinster,18988G,-6.5396223,53.3383004
Secondary,1,26.04.2021,St Paul's Sec. School,Monasterevin,Kildare,Kildare County Council,W34VX09,Leinster,61702D,-7.0634579,53.1426514
Primary,1,26.04.2021,St Michael's NS,Limerick City,Limerick,Limerick City Council,V94HX23,Munster,15320C,-8.6301239,52.661252
