Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Primary,1,26.03.2021,St Patrick's Snr Mixed,Skerries,Dublin,Fingal County Council,K34X751,Dublin,16332O,-6.1066867,53.5806379
Secondary,1,26.03.2021,Coláiste Bríde,"Clondalkin, D22",Dublin,South Dublin County Council,D22C6Y2,Dublin,60122D,-6.3942689,53.3219624
Primary,1,26.03.2021,Scoil Naomh Ide,"Clondalkin, D22",Dublin,South Dublin County Council,D22ED72,Dublin,19220S,-6.3942689,53.3219624
Primary,1,26.03.2021,St Martin De Porres NS,"Tallaght, D24",Dublin,South Dublin County Council,D24HF54,Dublin,19617W,-6.3746438,53.2874685
Primary,1,26.03.2021,Holy Family NS,Rathcoole,Dublin,South Dublin County Council,D24XH22,Dublin,13217W,-6.4679425,53.2813003
Pre-school,1,26.03.2021,The Village Creche* (not a school),Ballyroan,Laois,Laois County Council,,Leinster,Creche25,-6.2990387,53.2901086
Primary,1,26.03.2021,Gaelscoil An Longfoirt,Longford Town,Longford,Longford County Council,N39TW62,Leinster,20083S,-7.8726908,53.7061441
Primary,1,26.03.2021,Lisaniska NS,Foxford,Mayo,Mayo County Council,F26EY28,Connacht,16021U,-9.116667,53.983333
Primary,3,26.03.2021,St Joseph's NS,Tullamore,Offaly,Offaly County Council,R35PH94,Leinster,18797W,-7.4928384,53.2743191
Primary,1,26.03.2021,St Paul's NS,Athlone,Westmeath,Westmeath County Council,N37E973,Leinster,18405C,-7.942705,53.4230832
Secondary,1,26.03.2021,Presentation Secondary School,Grogan's Road,Wexford,Wexford County Council,Y35XV70,Leinster,63661C,-6.4636125,52.3354811
Primary,4,26.03.2021,Kilcoole Primary School,Kilcoole,Wicklow,Wicklow County Council,A63XT71,Leinster,20346B,-6.0644448,53.1054131
Primary,1,25.03.2021,Ballyconnell Mxd NS,Ballyconnell,Cavan,Cavan County Council,H14HK81,Ulster,16093W,,
Pre-school,1,25.03.2021,Clever Clogs Childcare* (not a school),Ballyconnell,Cavan,Cavan County Council,H14PW13,Ulster,Creche24,,
Primary,1,25.03.2021,St Columba's GNS with Facility for Deaf Children,Douglas West,Cork,Cork County Council,T12WK3D,Munster,05508O,-8.4397421,51.8738756
Primary,1,25.03.2021,Scoil Íosagáin,Buncrana,Donegal,Donegal County Council,F93RF77,Ulster,19967D,,
Primary,1,25.03.2021,Scoil Chaitríona Cailíní,"Coolock, D5",Dublin,Dublin City Council,D05HR61,Dublin,18361I,-6.200352,53.3893213
Primary,1,25.03.2021,Our Lady of Victories Boys School,DUBLIN 9,Dublin,Dublin City Council,D09HC90,Dublin,18910P,-6.2602732,53.3497645
Primary,1,25.03.2021,St Gabriel's NS,"Ballyfermot, D10",Dublin,Dublin City Council,D10KD76,Dublin,19661C,-6.3587715,53.3427187
Secondary,1,25.03.2021,St Mary's Secondary School,"Glasnevin, D11",Dublin,Dublin City Council,D11X478,Dublin,60770P,-6.2662007,53.3782873
Primary,1,25.03.2021,St Mary's National School,"Sandyford, D18",Dublin,Dun Laoghaire Rathdown,D18XV90,Dublin,02872U,-6.2049294,53.2776671
Primary,1,25.03.2021,St Luke's NS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15CH64,Dublin,16675V,-6.392217673487099,53.416537649999995
Primary,1,25.03.2021,Hansfield ETNS,"Hansfield, D15",Dublin,Fingal County Council,D15H1FC,Dublin,20383H,-6.4420549,53.3870051
Secondary,1,25.03.2021,Mount Sackville Secondary School,"Chapelizod, D20",Dublin,Fingal County Council,D20WP68,Dublin,60120W,-6.3451971,53.3479155
Primary,1,25.03.2021,Holy Family Junior NS,Swords,Dublin,Fingal County Council,K67PX92,Dublin,19721R,-6.2184562,53.4598264
Primary,1,25.03.2021,Sacred Heart NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22H224,Dublin,19799I,-6.3942689,53.3219624
Primary,1,25.03.2021,St Mark's Sen NS,"Tallaght, D24",Dublin,South Dublin County Council,D24FV07,Dublin,19390U,-6.3746438,53.2874685
Primary,2,25.03.2021,St Thomas Senior NS,"Tallaght, D24",Dublin,South Dublin County Council,D24YN90,Dublin,19765O,-6.3746438,53.2874685
Primary,1,25.03.2021,Scoil Mhuire Junior School,Newbridge,Kildare,Kildare County Council,W12ED88,Leinster,19550Q,-6.7982137,53.180124
Secondary,1,25.03.2021,Patrician Secondary School,Newbridge,Kildare,Kildare County Council,W12XV38,Leinster,61681V,-6.7982137,53.180124
Primary,1,25.03.2021,Urlingford NS,Urlingford,Kilkenny,Kilkenny County Council,E41A567,Leinster,19930D,-7.572662719570901,52.7241513
Secondary,3,25.03.2021,Coláiste Íde Agus Iosaef,ABBEYFEALE,Limerick,Limerick County Council,V94F7X4,Munster,76093M,-9.301549,52.3847629
Secondary,1,25.03.2021,Mercy Secondary School,Ballymahon,Longford,Longford County Council,N39P8C5,Leinster,63710M,-7.7617266,53.5617282
Primary,1,25.03.2021,St Oliver's Primary School,Drogheda,Louth,Louth County Council,A92NV26,Leinster,20349H,-6.3524183,53.7149877
Primary,1,25.03.2021,St Angela's NS,Castlebar,Mayo,Mayo County Council,F23YD79,Connacht,18694M,-9.297967,53.8568418
Primary,1,25.03.2021,St Brendan's Boys PS,Birr,Offaly,Offaly County Council,R42NW22,Leinster,12370C,-7.9108738,53.0965843
Primary,1,25.03.2021,Mercy Primary School,Birr,Offaly,Offaly County Council,R42TX89,Leinster,03220F,-7.9108738,53.0965843
Primary,1,25.03.2021,Holy Trinity National School,Fethard,Tipperary,Tipperary (Sr) County Council,E91TD43,Munster,20355C,-7.695565047304932,52.46559915
Secondary,1,25.03.2021,St Peter's College,Summerhill,Wexford,Wexford County Council,Y35P8WT,Leinster,63650U,-6.7321526,53.4807969
Primary,1,24.03.2021,Lurgybrack NS,Letterkenny,Donegal,Donegal County Council,F92HP82,Ulster,16672P,-7.7378749,54.9493649
Primary,1,24.03.2021,Scoil Mhuire B & C,Stranorlar,Donegal,Donegal County Council,F93F9TF,Ulster,19927O,-7.483095,54.832219
Primary,1,24.03.2021,St Christopher's NS,"Ballsbridge, D4",Dublin,Dublin City Council,D04FP20,Dublin,20545H,-6.2311505,53.3291335
Primary,1,24.03.2021,Stanhope St Primary School,"Stoneybatter, D7",Dublin,Dublin City Council,D07DY60,Dublin,09932B,-6.2827967,53.3512117
Primary,1,24.03.2021,"Mary, Help Of Christians G.N.S.",Dublin 7,Dublin,Dublin City Council,D07EH68,Dublin,17367P,-6.2602732,53.3497645
Secondary,1,24.03.2021,Coláiste Pobail Setanta,"Clonsilla, D15",Dublin,Fingal County Council,D15EY17,Dublin,76098W,-6.423507,53.3827908
Secondary,1,24.03.2021,Riversdale Community College,"Blanchardstown, D15",Dublin,Fingal County Council,D15P380,Dublin,70081V,-6.3777514,53.389792
Primary,2,24.03.2021,Castleknock Educate Together NS,"Castleknock, D15",Dublin,Fingal County Council,D15X094,Dublin,20098I,-6.3714239,53.3815285
Primary,1,24.03.2021,Scoil Chormaic,Balbriggan,Dublin,Fingal County Council,K32AX94,Dublin,20269J,-6.1861964,53.609832
Primary,1,24.03.2021,St Patrick's Jnr Mixed,Skerries,Dublin,Fingal County Council,K34D799,Dublin,16333Q,-6.1066867,53.5806379
Primary,1,24.03.2021,Riverview ETNS,"Greenhills, D12",Dublin,South Dublin County Council,D12VY8A,Dublin,20494Q,-6.218504149999999,53.2978468
Primary,1,24.03.2021,St Mark's Sen NS,"Tallaght, D24",Dublin,South Dublin County Council,D24FV07,Dublin,19390U,-6.3746438,53.2874685
Primary,1,24.03.2021,St Thomas Senior NS,"Tallaght, D24",Dublin,South Dublin County Council,D24YN90,Dublin,19765O,-6.3746438,53.2874685
Pre-school,1,24.03.2021,Montessori Matters* (not a school),Lucan,Dublin,South Dublin County Council,K78AE93,Dublin,Creche23,-6.4501534,53.3567157
Primary,8,24.03.2021,Killashee Multi-Denominational NS,NAAS,Kildare,Kildare County Council,W91YV60,Leinster,20087D,-6.6574093,53.2214677
Primary,1,24.03.2021,Urlingford NS,Urlingford,Kilkenny,Kilkenny County Council,E41A567,Leinster,19930D,-7.572662719570901,52.7241513
Primary,1,24.03.2021,Le Chéile National School,Limerick,Limerick,Limerick County Council,V94X2TR,Munster,20459O,-8.6301239,52.661252
Secondary,1,24.03.2021,Mercy Secondary School,Ballymahon,Longford,Longford County Council,N39P8C5,Leinster,63710M,-7.7617266,53.5617282
Primary,1,24.03.2021,St Mochta's NS,Louth Village,Louth,Louth County Council,A91AE79,Leinster,01553W,-6.532050201271116,53.90628485
Primary,2,24.03.2021,Réalt Na Mara School,Dundalk,Louth,Louth County Council,A91TD3H,Leinster,20339E,-6.4008879,54.0046033
Primary,1,24.03.2021,Ballinamere NS,Tullamore,Offaly,Offaly County Council,R35AW83,Leinster,15656M,-7.4928384,53.2743191
Secondary,1,24.03.2021,C.B.S. Thurles,Thurles,Tipperary,Tipperary (NR) County Council,E41HX75,Munster,65450W,-7.8151008,52.6801547
Primary,1,24.03.2021,St Mary's Convent,Nenagh,Tipperary,Tipperary (Nr) County Council,E45DX78,Munster,16112A,-8.196667,52.861944
Primary,1,24.03.2021,CBS Primary School,Nenagh,Tipperary,Tipperary (Nr) County Council,E45VW44,Munster,16727O,-8.196667,52.861944
Primary,1,24.03.2021,St John The Baptist Girls School,Cashel,Tipperary,Tipperary (Sr) County Council,E25V627,Munster,19692N,-7.8879351,52.5167421
Primary,1,24.03.2021,St Paul's NS,Athlone,Westmeath,Westmeath County Council,N37E973,Leinster,18405C,-7.942705,53.4230832
Primary,1,24.03.2021,Our Lady Of Fatima Special School,WEXFORD,Wexford,Wexford County Council,Y35HF83,Leinster,19266T,-6.606515459159162,52.46018745
Primary,1,24.03.2021,Crossabeg NS,CROSSABEG,Wexford,Wexford County Council,Y35VY98,Leinster,17017L,-6.5005844,52.3840514
Primary,1,24.03.2021,Kilcoole Primary School,Kilcoole,Wicklow,Wicklow County Council,A63XT71,Leinster,20346B,-6.0644448,53.1054131
Primary,1,24.03.2021,Greystones Educate Together National School,Greystones,Wicklow,Wicklow County Council,A63YE36,Leinster,20300A,-6.0632184,53.1448901
Secondary,1,23.03.2021,Coláiste Achadh an Iuir,Virginia,Cavan,Cavan County Council,A82X224,Ulster,70390L,-77.497329,38.890086
Primary,1,23.03.2021,Scoil Naomh Fiachra,Letterkenny,Donegal,Donegal County Council,F92WD21,Ulster,12077E,-7.7378749,54.9493649
Pre-school,1,23.03.2021,Darndale Belcamp Integrated Childcare* (not a school),"Darndale, D17",Dublin,Dublin City Council,,Dublin,Creche21,-6.194032391656853,53.4009603
Primary,1,23.03.2021,St John Bosco SBS,Dublin 7,Dublin,Dublin City Council,D07V654,Dublin,17912O,-6.2602732,53.3497645
Primary,1,23.03.2021,Scoil Mobhi,"Glasnevin, D9",Dublin,Dublin City Council,D09A303,Dublin,19395H,-6.2662007,53.3782873
Primary,1,23.03.2021,Grace Park Educate Together National School,"Drumcondra, D9",Dublin,Dublin City Council,D09KDW4,Dublin,20486R,-6.259665718431606,53.36334425
Primary,1,23.03.2021,Assumption Senior Girls NS,"Walkinstown, D12",Dublin,Dublin City Council,D12FK49,Dublin,18170B,-6.338666191460039,53.324878798326196
Secondary,1,23.03.2021,Our Lady Of Mercy Secondary School,"Drimnagh, D12",Dublin,Dublin City Council,D12HT22,Dublin,60991I,-6.3180819,53.3353824
Primary,1,23.03.2021,Scoil Eoin,"Crumlin, D12",Dublin,Dublin City Council,D12PX38,Dublin,19382V,-6.3161673,53.3202316
Primary,1,23.03.2021,Our Lady Immaculate Senior NS,"Darndale, D17",Dublin,Dublin City Council,D17CK81,Dublin,19524P,-6.194032391656853,53.4009603
Primary,1,23.03.2021,Scoil Cholmcille Junior NS,Ballybrack,Dublin,Dun Laoghaire Rathdown,A96FA40,Dublin,19641T,-6.1266112,53.252448
Primary,1,23.03.2021,The Harold School,Glasthule,Dublin,Dun Laoghaire Rathdown,A96X043,Dublin,20141G,-6.126215011607295,53.2884307
Primary,1,23.03.2021,Our Lady's Grove Primary School,Dublin 14,Dublin,Dun Laoghaire Rathdown,D14Y993,Dublin,19374W,-6.2602732,53.3497645
Primary,1,23.03.2021,St Luke's NS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15CH64,Dublin,16675V,-6.392217673487099,53.416537649999995
Pre-school,1,23.03.2021,Missus Tatty's Nursery* (not a school),"Clonee, D15",Dublin,Fingal County Council,D15NXT3,Dublin,Creche19,-6.418708,53.4067306
Primary,1,23.03.2021,Mary Mother Of Hope Junior NS,"Clonee, D15",Dublin,Fingal County Council,D15TA49,Dublin,20309S,-6.418708,53.4067306
Primary,1,23.03.2021,Castleknock Educate Together NS,"Castleknock, D15",Dublin,Fingal County Council,D15X094,Dublin,20098I,-6.3714239,53.3815285
Primary,1,23.03.2021,Scoil Phadraic Cailin,Donabate,Dublin,Fingal County Council,K36KH36,Dublin,18412W,-6.1485698,53.4864092
Primary,1,23.03.2021,St Colmcille's Girls NS,Swords,Dublin,Fingal County Council,K67H337,Dublin,18977B,-6.2184562,53.4598264
Primary,2,23.03.2021,St Brendan NS,Ballinasloe,Galway,Galway County Council,H53EW70,Connacht,17870B,-8.221376,53.3302722
Primary,1,23.03.2021,Holy Child NS,Naas,Kildare,Kildare County Council,W91Y266,Leinster,19597T,-6.6574093,53.2214677
Primary,1,23.03.2021,Gaelscoil Thulach Na Nóg,Dunboyne,Meath,Meath County Council,A86EP04,Leinster,20082Q,-6.4760189,53.4194359
Pre-school,23,23.03.2021,M&As Montessori* (not a school),Tullamore,Offaly,Offaly County Council,,Leinster,Creche18,-7.4928384,53.2743191
Primary,1,23.03.2021,Tullamore Educate Together NS,Tullamore,Offaly,Offaly County Council,R35AX22,Leinster,20189L,-7.4928384,53.2743191
Primary,1,23.03.2021,St Colman's NS,Tullamore,Offaly,Offaly County Council,R35HR63,Leinster,17746A,-7.4928384,53.2743191
Primary,1,23.03.2021,Killeen NS,BIRR,Tipperary,Tipperary (Nr) County Council,R42AK00,Munster,17179O,-7.9487105670485025,53.107468350000005
Primary,1,23.03.2021,Scoil na gCeithre Maistri,Athlone,Westmeath,Westmeath County Council,N37RP03,Leinster,19948W,-7.942705,53.4230832
Primary,1,23.03.2021,Our Lady Of Fatima Special School,WEXFORD,Wexford,Wexford County Council,Y35HF83,Leinster,19266T,-6.606515459159162,52.46018745
Primary,2,22.03.2021,S N Muire Lourdes,Tullow,Carlow,Carlow County Council,R93Y960,Leinster,13507I,-6.7377301,52.803146
Pre-school,1,22.03.2021,Tiny Tots Playgroup* (not a school),Stranorlar,Donegal,Donegal County Council,,Ulster,Creche22,-7.483095,54.832219
Secondary,3,22.03.2021,Mulroy College,Letterkenny,Donegal,Donegal County Council,F92FX36,Ulster,71220O,-7.7378749,54.9493649
Primary,2,22.03.2021,Scoil Mhuire B & C,Stranorlar,Donegal,Donegal County Council,F93F9TF,Ulster,19927O,-7.483095,54.832219
Pre-school,1,22.03.2021,Funky Kidz Preschool* (not a school),Swords,Dublin,,,Dublin,Creche17,-6.2184562,53.4598264
Primary,1,22.03.2021,Gaelscoil Cholaiste Mhuire,"Rotunda, D1",Dublin,Dublin City Council,D01WC99,Dublin,19926M,-6.2626281292658135,53.3525935
Primary,1,22.03.2021,Our Lady Of Consolation NS,"Donnycarney, D5",Dublin,Dublin City Council,D05RW80,Dublin,20064O,-6.2197423,53.3746929
Primary,1,22.03.2021,Mary Queen of Angels 1,"Ballyfermot, D10",Dublin,Dublin City Council,D10A997,Dublin,18585H,-6.3587715,53.3427187
Secondary,1,22.03.2021,St Michael's Secondary School,"Finglas, D11",Dublin,Dublin City Council,D11H521,Dublin,60741I,-6.2992966,53.3902233
Primary,1,22.03.2021,Sacred Heart BNS,"Ballygall, D11",Dublin,Dublin City Council,D11XE17,Dublin,04992R,-6.2759417825940655,53.383837850000006
Primary,2,22.03.2021,Scoil Naomh Colmcille,"Donaghmede, D13",Dublin,Dublin City Council,D13XP49,Dublin,19611K,-6.1635775,53.3948612
Secondary,1,22.03.2021,The Donahies Community School,Dublin 13,Dublin,Dublin City Council,D13YN77,Dublin,91318U,-6.162400642418439,53.39687754275643
Secondary,1,22.03.2021,Holy Child Community School,Sallynoggin,Dublin,Dun Laoghaire Rathdown,A96E0C9,Dublin,91330K,-6.1426158,53.2767494
Secondary,1,22.03.2021,Cabinteely Community School,"Cabinteely, D18",Dublin,Dun Laoghaire Rathdown,D18VH73,Dublin,91310E,-6.1505691,53.2612843
Primary,1,22.03.2021,St Luke's NS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15CH64,Dublin,16675V,-6.392217673487099,53.416537649999995
Primary,1,22.03.2021,Hansfield ETNS,"Hansfield, D15",Dublin,Fingal County Council,D15H1FC,Dublin,20383H,-6.4420549,53.3870051
Secondary,2,22.03.2021,Loreto Secondary School,Balbriggan,Dublin,Fingal County Council,K32R248,Dublin,60010P,-6.1861964,53.609832
Primary,1,22.03.2021,Bracken Educate Together NS,Balbriggan,Dublin,Fingal County Council,K32YE94,Dublin,20282B,-6.1861964,53.609832
Primary,1,22.03.2021,St Damian's NS,"Perrystown, D12",Dublin,South Dublin County Council,D12FWV6,Dublin,19943M,-6.3192687,53.3073281
Primary,1,22.03.2021,St Mary's Senior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22WN40,Dublin,19647I,-6.3942689,53.3219624
Primary,1,22.03.2021,Solas Chriost NS,"Tallaght, D24",Dublin,South Dublin County Council,D24C621,Dublin,19541P,-6.3746438,53.2874685
Primary,1,22.03.2021,Scoil Mhuire Gan Smál,Ballygar,Galway,Galway County Council,F42AD83,Connacht,07455G,-8.3261381,53.5223233
Primary,1,22.03.2021,Scoil Mochua,Celbridge,Kildare,Kildare County Council,W23YY00,Leinster,19794V,-6.5396223,53.3383004
Primary,1,22.03.2021,St Conleths NS,Carbury,Kildare,Kildare County Council,W91KC79,Leinster,18449W,-6.9627118,53.3558412
Secondary,1,22.03.2021,Mountmellick Comm. School,Mountmellick,Laois,Laois County Council,R32A099,Leinster,91426A,-7.3251863,53.1175082
Primary,1,22.03.2021,St Colmcille's NS,AUGHNACLIFFE,Longford,Longford County Council,N39CD60,Leinster,19296F,-7.6040301,53.850985
Secondary,1,22.03.2021,Mercy Secondary School,Ballymahon,Longford,Longford County Council,N39P8C5,Leinster,63710M,-7.7617266,53.5617282
Primary,1,22.03.2021,Réalt Na Mara School,Dundalk,Louth,Louth County Council,A91TD3H,Leinster,20339E,-6.4008879,54.0046033
Primary,1,22.03.2021,St Joseph's CBS,Drogheda,Louth,Louth County Council,A92Y927,Leinster,17059E,-6.3524183,53.7149877
Primary,1,22.03.2021,Dangan Mixed NS,Summerhill,Meath,Meath County Council,A83HN83,Leinster,19018A,-6.7321526,53.4807969
Primary,1,22.03.2021,St Mary's NS,Ashbourne,Meath,Meath County Council,A84X762,Leinster,19768U,-6.3981743,53.5116146
Primary,3,22.03.2021,Scoil Oilibhéir Naofa,Bettystown,Meath,Meath County Council,A92H762,Leinster,20216L,-6.2446208,53.6984819
Primary,2,22.03.2021,Ballinamere NS,Tullamore,Offaly,Offaly County Council,R35AW83,Leinster,15656M,-7.4928384,53.2743191
Primary,1,22.03.2021,Scoil Eoin Phoil,Tullamore,Offaly,Offaly County Council,R35HN70,Leinster,19713S,-7.4928384,53.2743191
Primary,1,22.03.2021,Geashill NS,Geashill,Offaly,Offaly County Council,R35W253,Leinster,09191I,-7.3221015,53.2353767
Secondary,1,22.03.2021,C.B.S. Thurles,Thurles,Tipperary,Tipperary (NR) County Council,E41HX75,Munster,65450W,-7.8151008,52.6801547
Primary,3,22.03.2021,S N Iosef Naofa,Roscrea,Tipperary,Tipperary (Nr) County Council,E53Y449,Munster,18345K,-7.788687666946512,52.942640999999995
Primary,1,22.03.2021,Scoil Aonghusa Special School,Cashel,Tipperary,Tipperary (Sr) County Council,E25HY45,Munster,19615S,-7.8879351,52.5167421
Primary,1,22.03.2021,St Paul's NS,Athlone,Westmeath,Westmeath County Council,N37E973,Leinster,18405C,-7.942705,53.4230832
Primary,1,22.03.2021,St Senan's National School,Enniscorthy,Wexford,Wexford County Council,Y21EV70,Leinster,08221J,-6.5674944,52.5011493
Primary,1,22.03.2021,Oylegate NS,Enniscorthy,Wexford,Wexford County Council,Y21FN23,Leinster,16828U,-6.5674944,52.5011493
Primary,1,22.03.2021,Catherine McAuley Junior School,New Ross,Wexford,Wexford County Council,Y34XT89,Leinster,20481H,-6.9446066,52.3955671
Primary,1,22.03.2021,St Joseph's NS,Arklow,Wicklow,Wicklow County Council,Y14X856,Leinster,17181B,-6.1540035,52.798221
Primary,2,21.03.2021,Scoil Bhríde,Ballydehob,Cork,Cork County Council,P81V294,Munster,14225D,-9.4604371,51.5626308
Primary,1,21.03.2021,Scoil Íosagáin,Buncrana,Donegal,Donegal County Council,F93RF77,Ulster,19967D,,
Pre-school,1,21.03.2021,Links Childcare Abington* (not a school),Malahide,Dublin,,,Dublin,Creche8,-6.15367,53.4508401
Primary,1,21.03.2021,St Vincent's BNS,Dublin 1,Dublin,Dublin City Council,D01VW63,Dublin,15816I,-6.2602732,53.3497645
Primary,1,21.03.2021,St Vincent's GNS,Dublin 1,Dublin,Dublin City Council,D01XT04,Dublin,15056L,-6.2602732,53.3497645
Primary,1,21.03.2021,St Joseph's For Blind NS,"Drumcondra, D9",Dublin,Dublin City Council,D09C803,Dublin,18417J,-6.259665718431606,53.36334425
Primary,1,21.03.2021,Marist National School,"Crumlin, D12",Dublin,Dublin City Council,D12YP98,Dublin,18386B,-6.3161673,53.3202316
Primary,1,21.03.2021,St Kevin's Junior NS,"Donaghmede, D13",Dublin,Dublin City Council,D13DK88,Dublin,19538D,-6.1635775,53.3948612
Primary,1,21.03.2021,Scoil Cholmcille Junior NS,Ballybrack,Dublin,Dun Laoghaire Rathdown,A96FA40,Dublin,19641T,-6.1266112,53.252448
Primary,1,21.03.2021,St Luke's NS,"Tyrrelstown, D15",Dublin,Fingal County Council,D15CH64,Dublin,16675V,-6.392217673487099,53.416537649999995
Pre-school,8,21.03.2021,Roots and Wings Early Years Ed. and Care* (not a school),Donabate,Dublin,Fingal County Council,K36N678,Dublin,Creche15,-6.1485698,53.4864092
Primary,1,21.03.2021,Gaelscoil An Duinninigh,Swords,Dublin,Fingal County Council,K67V207,Dublin,19898K,-6.2184562,53.4598264
Secondary,1,21.03.2021,Deansrath Comm. College,"Clondalkin, D22",Dublin,South Dublin County Council,D22RY77,Dublin,70040H,-6.3942689,53.3219624
Primary,1,21.03.2021,St Brigid's JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24X343,Dublin,19782O,-6.3746438,53.2874685
Primary,1,21.03.2021,St Oliver Plunketts NS,Athenry,Galway,Galway County Council,H65T680,Connacht,19449E,-8.7468297,53.2991901
Primary,1,21.03.2021,Craughwell NS,Craughwell,Galway,Galway County Council,H91P218,Connacht,05754G,-8.7348719,53.2306783
Pre-school,1,21.03.2021,Child's Play Creche* (not a school),Newbridge,Kildare,Kildare County Council,,Leinster,Creche16,-6.7982137,53.180124
Primary,1,21.03.2021,Scoil Bhríde,Naas,Kildare,Kildare County Council,W91YA62,Leinster,20114D,-6.6574093,53.2214677
Primary,1,21.03.2021,Killashee Multi-Denominational NS,NAAS,Kildare,Kildare County Council,W91YV60,Leinster,20087D,-6.6574093,53.2214677
Primary,1,21.03.2021,St Joseph's NS,Ballinrobe,Mayo,Mayo County Council,F31E406,Connacht,20089H,-9.2207207,53.6227775
Primary,1,21.03.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Primary,1,21.03.2021,Realt Na Mara BNS,Mornington,Meath,Meath County Council,A92WC52,Leinster,18762D,-6.2825549,53.7213844
Primary,1,21.03.2021,Presentation Primary School,Carrick-on-Suir,Tipperary,Tipperary (Sr) County Council,E32CA26,Munster,11872V,-7.413056,52.349167
Primary,1,21.03.2021,Holy Family Primary School,Mullingar,Westmeath,Westmeath County Council,N91Y225,Leinster,17327D,-7.3415454,53.5263035
Primary,1,21.03.2021,Presentation Senior School,Mullingar,Westmeath,Westmeath County Council,N91YD83,Leinster,18212O,-7.3415454,53.5263035
Primary,3,21.03.2021,Our Lady Of Fatima Special School,WEXFORD,Wexford,Wexford County Council,Y35HF83,Leinster,19266T,-6.606515459159162,52.46018745
Primary,1,21.03.2021,Greystones Educate Together National School,Greystones,Wicklow,Wicklow County Council,A63YE36,Leinster,20300A,-6.0632184,53.1448901
Primary,1,21.03.2021,St Laurence O'Toole's NS,Bray,Wicklow,Wicklow County Council,A98RP49,Leinster,16634H,-6.1105049,53.2014604
Primary,1,20.03.2021,Griffith Barracks Multi D School,"South Circular Road, D8",Dublin,Dublin City Council,D08KVY4,Dublin,20012S,-6.2869247,53.3322802
Primary,1,20.03.2021,Mary Queen of Angels,"Ballyfermot, D10",Dublin,Dublin City Council,D10C527,Dublin,18843D,-6.3587715,53.3427187
Primary,1,20.03.2021,Our Lady Of Good Counsel Boys NS,Dún Laoghaire,Dublin,Dun Laoghaire Rathdown,A96AF10,Dublin,19320W,-6.1360079,53.2922794
Primary,1,20.03.2021,Rush And Lusk Educate Together NS,Lusk,Dublin,Fingal County Council,K45WC62,Dublin,20176C,-6.1658125,53.5255827
Primary,1,20.03.2021,Holy Family Junior NS,Swords,Dublin,Fingal County Council,K67PX92,Dublin,19721R,-6.2184562,53.4598264
Primary,2,20.03.2021,S N Cholmcille Boys,Swords,Dublin,Fingal County Council,K67WP65,Dublin,18976W,-6.2184562,53.4598264
Primary,1,20.03.2021,St Kevin's Girls,"Tallaght, D24",Dublin,South Dublin County Council,D24R6PT,Dublin,19466E,-6.3746438,53.2874685
Primary,1,20.03.2021,Scoil Santain NS,"Tallaght, D24",Dublin,South Dublin County Council,D24TW35,Dublin,19646G,-6.3746438,53.2874685
Primary,1,20.03.2021,Patrician Primary School,Newbridge,Kildare,Kildare County Council,W12Y198,Leinster,15870O,-6.7982137,53.180124
Primary,3,20.03.2021,Scoil Ui Fhiaich,Maigh Nuad,Kildare,Kildare County Council,W23T207,Leinster,20058T,-6.5922806,53.3830239
Primary,2,20.03.2021,St Colman's NS,Stradbally,Laois,Laois County Council,R32VR84,Leinster,20353V,-7.1499661,53.0160548
Primary,1,20.03.2021,Monaleen NS,Castletroy,Limerick,Limerick County Council,V94T9P1,Munster,17937H,-8.5712428,52.6654318
Primary,1,20.03.2021,Scoil Mhuire,Ashbourne,Meath,Meath County Council,A84X762,Leinster,19768U,-6.3981743,53.5116146
Primary,1,20.03.2021,St Joseph's NS,Tullamore,Offaly,Offaly County Council,R35PH94,Leinster,18797W,-7.4928384,53.2743191
Primary,1,20.03.2021,Presentation Primary School,Thurles,Tipperary,Tipperary (Nr) County Council,E41V967,Munster,19874T,-7.8151008,52.6801547
Primary,1,20.03.2021,St Patrick's NS,Greystones,Wicklow,Wicklow County Council,A63EY42,Leinster,12554M,-6.0632184,53.1448901
Primary,1,19.03.2021,St Joseph's NS,Kingscourt,Cavan,Cavan County Council,A82RD70,Ulster,20172R,,
Primary,1,19.03.2021,S N Naomh Brid,Letterkenny,Donegal,Donegal County Council,F92XP86,Ulster,19228L,-7.7378749,54.9493649
Primary,2,19.03.2021,Dooish NS,BALLYBOFEY,Donegal,Donegal County Council,F93N768,Ulster,19333I,,
Pre-school,1,19.03.2021,Marbles Crèche* (not a school),Swords,Dublin,,,Dublin,Creche14,-6.2184562,53.4598264
Primary,1,19.03.2021,Our Lady Of Victories Infant NS,Dublin 9,Dublin,Dublin City Council,D09YC99,Dublin,19242F,-6.2602732,53.3497645
Primary,1,19.03.2021,St Kevin's Junior NS,"Donaghmede, D13",Dublin,Dublin City Council,D13DK88,Dublin,19538D,-6.1635775,53.3948612
