OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
324;powiat wołomiński;1434;t1434;103;4.1;1;1;0;2745;551;113;424;143;14;245357;None;None;222;mazowieckie;2558316767.96289;351584.203589798;
325;powiat mikołowski;2408;t2408;47;4.74;3;0;3;1486;211;50;155;94;6;98373;None;None;156;śląskie;565757168.474609;156628.457361877;
326;powiat goleniowski;3204;t3204;42;5.1;3;0;3;822;188;43;144;63;1;82540;None;None;52;zachodniopomorskie;4587643440.23242;436418.649761447;
327;powiat Rzeszów;1863;t1863;52;2.64;3;0;3;1242;398;54;342;84;2;191564;None;None;137;podkarpackie;306606318.350586;110538.235365823;
328;powiat łomżyński;2007;t2007;7;1.38;1;0;1;230;38;8;30;19;0;51000;None;None;14;podlaskie;3769687205.85742;616000.440153015;
329;powiat opolski;1609;t1609;43;3.47;1;1;0;1050;233;47;183;60;3;123520;None;None;91;opolskie;3821907455.73828;643230.80211433;
330;powiat wałecki;3217;t3217;14;2.65;0;0;0;338;84;14;69;26;1;53462;None;None;29;zachodniopomorskie;3941975760.69824;428814.535313131;
331;powiat drawski;3203;t3203;13;2.29;2;0;2;367;95;14;81;35;0;57397;None;None;25;zachodniopomorskie;4968623232.2334;522493.847010783;
332;powiat chojnicki;2202;t2202;30;3.07;0;0;0;591;148;34;112;45;2;97551;None;None;24;pomorskie;3906489783.32031;495248.8866778;
333;powiat tarnogórski;2413;t2413;101;7.17;1;0;1;1579;349;108;234;107;7;139833;None;None;187;śląskie;1588244813.47852;317816.381141019;
334;powiat lęborski;2208;t2208;10;1.51;0;0;0;308;134;10;120;16;4;66280;None;None;27;pomorskie;2100366774.13574;347765.561380954;
335;powiat bytowski;2201;t2201;39;4.93;1;0;1;556;125;41;83;34;1;79299;None;None;61;pomorskie;6375442429.66602;683439.79822554;
336;powiat ciechanowski;1402;t1402;10;1.12;0;0;0;457;168;12;156;117;0;89670;None;None;52;mazowieckie;2901354618.98047;376412.83241868;
337;powiat przeworski;1814;t1814;19;2.43;5;5;0;632;127;22;102;28;3;78458;None;None;60;podkarpackie;1694083664.58496;344633.922933709;
338;powiat otwocki;1417;t1417;35;2.81;3;0;3;1424;232;38;185;75;9;124036;None;None;167;mazowieckie;1624785921.71875;268932.250852819;
339;powiat kozienicki;1407;t1407;31;5.18;1;0;1;707;135;34;97;58;4;60472;None;None;26;mazowieckie;2372414263.09863;379341.494766686;
340;powiat janowski;0605;t0605;26;5.71;0;0;0;525;110;27;76;31;7;46057;None;None;27;lubelskie;2181978499.97363;306286.236776912;
341;powiat limanowski;1207;t1207;6;0.45;1;0;1;597;185;7;173;44;5;131523;None;None;34;małopolskie;2269382273.37305;285692.748459357;
