population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
124036,155336,0,52567,0,482,1703,2022-10-01,otwocki,mazowieckie
76595,59400,0,22886,0,853,3499,2022-10-01,oławski,dolnośląskie
153737,193054,0,65255,0,537,1931,2022-10-01,oświęcimski,małopolskie
119289,180392,0,60454,0,2506,9816,2022-10-01,pabianicki,łódzkie
51597,43646,0,15210,0,0,48,2022-10-01,pajęczański,łódzkie
34954,42014,0,15075,0,34,64,2022-10-01,parczewski,lubelskie
184951,392738,26,133237,0,3218,6530,2022-10-01,piaseczyński,mazowieckie
136621,168029,0,58184,0,514,1223,2022-10-01,pilski,wielkopolskie
91315,76128,0,27316,0,369,619,2022-10-01,piotrkowski,łódzkie
56570,73559,0,27315,0,68,219,2022-10-01,piski,warmińsko-mazurskie
39271,52004,0,17461,0,13,22,2022-10-01,pińczowski,świętokrzyskie
63147,95937,0,35285,0,1794,1983,2022-10-01,pleszewski,wielkopolskie
41205,55186,0,20033,0,85,301,2022-10-01,poddębicki,łódzkie
79476,85497,0,28754,0,1059,3420,2022-10-01,policki,zachodniopomorskie
62982,64835,0,21278,0,174,223,2022-10-01,polkowicki,dolnośląskie
390308,396039,30,124076,0,3206,7220,2022-10-01,poznański,wielkopolskie
43523,64785,0,24731,0,189,628,2022-10-01,proszowicki,małopolskie
55524,61186,0,21727,0,240,240,2022-10-01,prudnicki,opolskie
164240,228333,17,75328,0,3325,7037,2022-10-01,pruszkowski,mazowieckie
52824,71967,0,27606,0,101,132,2022-10-01,przasnyski,mazowieckie
74398,28890,0,11016,0,11,11,2022-10-01,przemyski,podkarpackie
78458,46351,0,16903,0,155,278,2022-10-01,przeworski,podkarpackie
41922,44002,0,15971,0,13,48,2022-10-01,przysuski,mazowieckie
111202,108806,0,35796,0,1319,2700,2022-10-01,pszczyński,śląskie
85726,93409,1,32324,0,507,1551,2022-10-01,pucki,pomorskie
113762,150066,0,53773,0,34,58,2022-10-01,puławski,lubelskie
51809,68397,0,25601,0,1407,3660,2022-10-01,pułtuski,mazowieckie
39639,46761,0,16349,0,46,161,2022-10-01,pyrzycki,zachodniopomorskie
111088,119601,0,45825,0,194,303,2022-10-01,płocki,mazowieckie
87409,113720,0,42125,0,85,163,2022-10-01,płoński,mazowieckie
108513,132628,0,47223,0,252,685,2022-10-01,raciborski,śląskie
152117,98604,0,35669,0,1053,2622,2022-10-01,radomski,mazowieckie
113315,136019,0,47977,0,630,919,2022-10-01,radomszczański,łódzkie
40714,62110,0,23239,0,0,61,2022-10-01,radziejowski,kujawsko-pomorskie
59278,47604,0,17232,0,51,110,2022-10-01,radzyński,lubelskie
60405,88643,0,30419,0,1654,1735,2022-10-01,rawicki,wielkopolskie
48808,44742,0,15787,0,3,6,2022-10-01,rawski,łódzkie
74374,56157,0,20582,0,70,285,2022-10-01,ropczycko-sędziszowski,podkarpackie
78104,40861,0,14433,0,205,259,2022-10-01,rybnicki,śląskie
56166,79970,0,29420,0,60,64,2022-10-01,rycki,lubelskie
43826,55760,0,19659,0,48,150,2022-10-01,rypiński,kujawsko-pomorskie
170486,81354,0,29503,0,111,222,2022-10-01,rzeszowski,podkarpackie
77773,110090,0,40887,0,155,656,2022-10-01,sandomierski,świętokrzyskie
94758,62500,0,20762,0,395,826,2022-10-01,sanocki,podkarpackie
20092,18671,0,6705,0,0,5,2022-10-01,sejneński,podlaskie
81352,44078,0,17071,0,8,8,2022-10-01,siedlecki,mazowieckie
44689,44464,0,17088,0,13,60,2022-10-01,siemiatycki,podlaskie
118240,151965,0,53261,0,341,1249,2022-10-01,sieradzki,łódzkie
