Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.w. Wiązowna,otwocki,902,201,1270,2185,1099,mazowieckie,:,13330,3225,"24,19%",5657
gm.m-w. Połaniec,staszowski,735,85,860,1452,1391,świętokrzyskie,:,11683,2824,"24,17%",4523
gm.m-w. Alwernia,chrzanowski,1050,131,1110,1725,1131,małopolskie,:,12490,3017,"24,16%",5147
gm.w. Słupno,płocki,562,94,596,1494,646,mazowieckie,:,8129,1962,"24,14%",3392
gm.w. Moskorzew,włoszczowski,291,6,146,269,254,świętokrzyskie,:,2618,632,"24,14%",966
gm.m-w. Wieleń,czarnkowsko-trzcianecki,1032,83,940,1643,1169,wielkopolskie,:,12155,2934,"24,14%",4867
gm.m-w. Milicz,milicki,2299,166,1734,2868,2217,dolnośląskie,:,24050,5800,"24,12%",9284
m. Ostrowiec Świętokrzyski,ostrowiecki,7573,430,3981,7835,7504,świętokrzyskie,:,67404,16253,"24,11%",27324
gm.m-w. Borne Sulinowo,szczecinecki,1049,96,593,1171,876,zachodniopomorskie,:,9840,2372,"24,11%",3785
gm.m-w. Ząbkowice Śląskie,ząbkowicki,2250,161,1434,2548,2063,dolnośląskie,:,21405,5159,"24,10%",8456
m. Łaziska Górne,mikołowski,1759,292,2169,3264,1921,śląskie,:,22130,5328,"24,08%",9405
gm.w. Kołbaskowo,policki,652,235,1608,2532,933,zachodniopomorskie,:,13782,3319,"24,08%",5960
gm.w. Podgórzyn,jeleniogórski,726,72,570,1038,831,dolnośląskie,:,8285,1994,"24,07%",3237
gm.m-w. Wołomin,wołomiński,4634,541,4318,7385,4375,mazowieckie,:,51726,12447,"24,06%",21253
m. Żywiec,żywiecki,3042,226,2207,4026,2601,śląskie,:,30733,7394,"24,06%",12102
gm.w. Głusk,lubelski,689,110,979,1811,742,lubelskie,:,11981,2877,"24,01%",4331
gm.m-w. Białobrzegi,białobrzeski,959,122,839,1469,1002,mazowieckie,:,10236,2457,24%,4391
gm.w. Celestynów,otwocki,946,102,1126,1735,1032,mazowieckie,:,11701,2808,24%,4941
gm.w. Kleszczewo,poznański,466,180,1263,1803,572,wielkopolskie,:,9343,2242,24%,4284
gm.m-w. Aleksandrów Łódzki,zgierski,2679,438,2761,5189,2684,łódzkie,:,32685,7838,"23,98%",13751
gm.m-w. Poddębice,poddębicki,1397,119,1188,2266,1340,łódzkie,:,15371,3685,"23,97%",6310
gm.m-w. Łobez,łobeski,1254,118,975,1750,1522,zachodniopomorskie,:,13815,3311,"23,97%",5619
gm.m-w. Otmuchów,nyski,1165,116,945,1679,1265,opolskie,:,13355,3200,"23,96%",5170
gm.m-w. Police,policki,3103,448,3468,5522,4220,zachodniopomorskie,:,41117,9851,"23,96%",16761
gm.m-w. Sępólno Krajeńskie,sępoleński,1382,199,1408,2159,1512,kujawsko-pomorskie,:,15761,3775,"23,95%",6660
gm.m-w. Iłowa,żagański,566,72,590,970,711,lubuskie,:,6777,1623,"23,95%",2909
Piotrków Trybunalski,Piotrków Trybunalski,7789,646,5317,9557,6854,łódzkie,:,72250,17301,"23,95%",30163
gm.m-w. Boguchwała,rzeszowski,1486,164,1544,2491,1328,podkarpackie,:,20916,5005,"23,93%",7013
Radom,Radom,20977,1839,15090,25772,20029,mazowieckie,:,209296,50022,"23,90%",83707
gm.m-w. Ogrodzieniec,zawierciański,934,74,665,1341,876,śląskie,:,9018,2155,"23,90%",3890
gm.m-w. Krosno Odrzańskie,krośnieński,1677,149,1455,2436,1826,lubuskie,:,17589,4202,"23,89%",7543
gm.m-w. Wronki,szamotulski,1795,193,2231,3047,1868,wielkopolskie,:,19081,4558,"23,89%",9134
m. Świeradów-Zdrój,lubański,424,26,229,438,394,dolnośląskie,:,3995,954,"23,88%",1511
m. Płońsk,płoński,1952,205,1904,3169,2263,mazowieckie,:,21924,5235,"23,88%",9493
gm.w. Żyrzyn,puławski,561,48,455,802,543,lubelskie,:,6411,1530,"23,87%",2409
gm.w. Lyski,rybnicki,760,88,832,1418,750,śląskie,:,9676,2309,"23,86%",3848
gm.m-w. Małomice,żagański,432,28,356,594,463,lubuskie,:,5165,1232,"23,85%",1873
gm.w. Gzy,pułtuski,311,24,253,450,309,mazowieckie,:,3736,891,"23,85%",1347
m. Rawa Mazowiecka,rawski,1642,130,1238,2081,1720,łódzkie,:,17193,4097,"23,83%",6811
gm.w. Brójce,łódzki wschodni,412,75,561,969,497,łódzkie,:,6761,1610,"23,81%",2514
m. Tomaszów Mazowiecki,tomaszowski,6793,656,4372,7987,6061,łódzkie,:,61338,14606,"23,81%",25869
Siedlce,Siedlce,6749,537,5155,8571,6724,mazowieckie,:,77813,18531,"23,81%",27736
gm.w. Jerzmanowice-Przegin,krakowski,948,95,918,1545,904,małopolskie,:,10955,2607,"23,80%",4410
m. Chełmno,chełmiński,1853,188,1509,2682,1928,kujawsko-pomorskie,:,19205,4567,"23,78%",8160
gm.w. Trzebiechów,zielonogórski,275,23,215,418,322,lubuskie,:,3343,795,"23,78%",1253
m. Brzeziny,brzeziński,1118,86,919,1567,1115,łódzkie,:,12365,2941,"23,78%",4805
gm.m-w. Świecie,świecki,3088,308,2556,4547,3231,kujawsko-pomorskie,:,33851,8048,"23,77%",13730
gm.w. Wąwolnica,puławski,394,15,275,565,394,lubelskie,:,4569,1086,"23,77%",1643
m. Chodzież,chodzieski,2100,169,1393,2473,1926,wielkopolskie,:,18229,4333,"23,77%",8061
m. Jasło,jasielski,3190,246,2016,3876,2878,podkarpackie,:,34542,8207,"23,76%",12206
m. Sejny,sejneński,470,19,267,552,495,podlaskie,:,5159,1226,"23,76%",1803
gm.w. Dąbrowa Biskupia,inowrocławski,415,44,435,730,471,kujawsko-pomorskie,:,5094,1209,"23,73%",2095
gm.w. Turośń Kościelna,białostocki,421,58,473,813,473,podlaskie,:,6524,1548,"23,73%",2238
gm.m-w. Wołów,wołowski,2001,161,1537,2731,2022,dolnośląskie,:,22318,5292,"23,71%",8452
gm.w. Zagrodno,złotoryjski,460,35,373,613,513,dolnośląskie,:,5206,1234,"23,70%",1994
gm.w. Kozłów,miechowski,490,15,291,639,389,małopolskie,:,4557,1080,"23,70%",1824
gm.w. Będzino,koszaliński,595,77,626,1137,861,zachodniopomorskie,:,8639,2047,"23,69%",3296
gm.m-w. Różan,makowski,365,33,298,514,379,mazowieckie,:,4400,1042,"23,68%",1589
gm.m-w. Międzychód,międzychodzki,1652,153,1416,2557,1770,wielkopolskie,:,18309,4335,"23,68%",7548
