Gmina,Powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,Województwo,Grupa wiekowa,Liczba ludności,Pacjenci w pełni zaszczepieni,% pacjentów zaszczepionych pełną dawką,Pacjenci zaszczepieni przynajmniej jedną dawką
gm.m-w. Węgliniec,zgorzelecki,599,35,403,717,663,dolnośląskie,:,8205,1345,"16,39%",2417
gm.w. Ostróda,ostródzki,896,91,867,1746,1206,warmińsko-mazurskie,:,16094,2638,"16,39%",4806
gm.w. Mochowo,sierpecki,396,24,305,620,401,mazowieckie,:,5953,975,"16,38%",1746
gm.w. Kazanów,zwoleński,334,15,184,344,275,mazowieckie,:,4475,733,"16,38%",1152
gm.w. Świdwin,świdwiński,273,22,319,514,472,zachodniopomorskie,:,5799,950,"16,38%",1600
gm.w. Dzierżoniów,dzierżoniowski,578,58,478,943,734,dolnośląskie,:,9013,1475,"16,37%",2791
gm.w. Brzuze,rypiński,406,31,341,483,407,kujawsko-pomorskie,:,5284,865,"16,37%",1668
gm.w. Dębowiec,jasielski,532,20,349,707,458,podkarpackie,:,8844,1448,"16,37%",2066
gm.w. Kołaczkowo,wrzesiński,419,29,356,582,524,wielkopolskie,:,5988,980,"16,37%",1910
gm.w. Gizałki,pleszewski,272,13,235,397,333,wielkopolskie,:,4591,751,"16,36%",1250
gm.w. Jemielno,górowski,230,8,146,229,233,dolnośląskie,:,2967,485,"16,35%",846
gm.w. Czorsztyn,nowotarski,532,42,373,736,499,małopolskie,:,7664,1253,"16,35%",2182
gm.m-w. Myszyniec,ostrołęcki,621,32,423,906,609,mazowieckie,:,10396,1699,"16,34%",2591
gm.w. Fredropol,przemyski,345,24,235,482,342,podkarpackie,:,5393,881,"16,34%",1428
gm.w. Zbójno,golubsko-dobrzyński,331,19,235,460,308,kujawsko-pomorskie,:,4382,715,"16,32%",1353
gm.w. Jeleniewo,suwalski,200,13,146,266,203,podlaskie,:,3156,515,"16,32%",828
gm.w. Chrzanów,janowski,262,10,82,199,159,lubelskie,:,2887,471,"16,31%",712
gm.w. Dębowa Kłoda,parczewski,260,13,178,289,277,lubelskie,:,3880,633,"16,31%",1017
gm.w. Brochów,sochaczewski,357,30,281,534,356,mazowieckie,:,4375,713,"16,30%",1558
gm.w. Sanok,sanocki,1030,99,860,1621,942,podkarpackie,:,18113,2952,"16,30%",4552
gm.w. Siemkowice,pajęczański,385,36,311,504,346,łódzkie,:,4745,773,"16,29%",1582
gm.w. Radymno,jarosławski,633,39,455,884,655,podkarpackie,:,11394,1856,"16,29%",2666
gm.w. Chrostkowo,lipnowski,228,17,176,313,195,kujawsko-pomorskie,:,2851,464,"16,28%",929
gm.w. Obsza,biłgorajski,295,27,164,351,279,lubelskie,:,4214,686,"16,28%",1116
gm.w. Trzydnik Duży,kraśnicki,535,24,290,491,388,lubelskie,:,6390,1040,"16,28%",1728
gm.w. Trojanów,garwoliński,527,31,424,659,447,mazowieckie,:,7236,1178,"16,28%",2088
gm.w. Goszczyn,grójecki,211,8,161,294,199,mazowieckie,:,2942,479,"16,28%",873
gm.w. Zaleszany,stalowowolski,657,51,474,918,639,podkarpackie,:,11024,1795,"16,28%",2739
gm.m-w. Kołaczyce,jasielski,530,31,431,765,526,podkarpackie,:,8920,1451,"16,27%",2283
gm.w. Ostrów,ropczycko-sędziszowski,388,14,351,634,360,podkarpackie,:,7346,1195,"16,27%",1747
gm.w. Somonino,kartuski,505,119,763,1247,647,pomorskie,:,10945,1781,"16,27%",3281
gm.w. Borki,radzyński,374,15,205,458,369,lubelskie,:,5961,969,"16,26%",1421
gm.w. Pawłowiczki,kędzierzyńsko-kozielski,527,50,408,675,497,opolskie,:,7277,1183,"16,26%",2157
gm.w. Siennica Różana,krasnostawski,333,14,183,351,277,lubelskie,:,4118,669,"16,25%",1158
gm.m-w. Szczuczyn,grajewski,412,13,281,502,395,podlaskie,:,5994,974,"16,25%",1603
gm.w. Milejewo,elbląski,184,28,272,454,287,warmińsko-mazurskie,:,3409,554,"16,25%",1225
gm.w. Karniewo,makowski,345,39,376,511,407,mazowieckie,:,5117,831,"16,24%",1678
gm.w. Zatory,pułtuski,343,19,300,573,330,mazowieckie,:,4828,784,"16,24%",1565
gm.w. Zawidz,sierpecki,457,12,354,637,423,mazowieckie,:,6513,1058,"16,24%",1883
gm.m-w. Żerków,jarociński,741,67,754,1176,824,wielkopolskie,:,10213,1658,"16,23%",3562
gm.m-w. Nowe,świecki,825,41,450,1038,768,kujawsko-pomorskie,:,10103,1639,"16,22%",3122
gm.w. Kamionka,lubartowski,429,27,308,603,425,lubelskie,:,6491,1053,"16,22%",1792
gm.w. Miłoradz,malborski,193,20,208,394,278,pomorskie,:,3341,542,"16,22%",1093
gm.w. Krzywcza,przemyski,265,15,234,411,266,podkarpackie,:,4801,778,"16,21%",1191
gm.w. Stężyca,kartuski,569,90,657,1081,626,pomorskie,:,10765,1745,"16,21%",3023
gm.w. Boniewo,włocławski,320,15,219,424,243,kujawsko-pomorskie,:,3346,542,"16,20%",1221
gm.w. Susiec,tomaszowski,589,27,314,608,562,lubelskie,:,7384,1196,"16,20%",2100
gm.w. Siedlce,siedlecki,918,69,920,1763,1157,mazowieckie,:,18671,3024,"16,20%",4827
gm.m-w. Kłodawa,kolski,1040,74,688,1250,920,wielkopolskie,:,12706,2059,"16,20%",3972
gm.w. Rząśnia,pajęczański,401,28,256,429,284,łódzkie,:,4924,797,"16,19%",1398
gm.w. Łapanów,bocheński,459,58,597,900,532,małopolskie,:,8197,1326,"16,18%",2546
gm.w. Rutki,zambrowski,384,22,249,484,369,podlaskie,:,5427,878,"16,18%",1508
gm.w. Chełm,chełmski,778,81,755,1567,937,lubelskie,:,15099,2442,"16,17%",4118
gm.w. Raciechowice,myślenicki,381,32,427,631,425,małopolskie,:,6471,1046,"16,16%",1896
gm.m-w. Jutrosin,rawicki,514,37,328,676,444,wielkopolskie,:,7044,1138,"16,16%",1999
gm.m-w. Tuliszków,turecki,730,29,551,1052,837,wielkopolskie,:,10526,1701,"16,16%",3199
gm.m-w. Żabno,tarnowski,1271,102,1024,1708,1114,małopolskie,:,18862,3047,"16,15%",5219
gm.m-w. Dobrzyń nad Wisłą,lipnowski,531,41,409,669,599,kujawsko-pomorskie,:,7505,1211,"16,14%",2249
gm.w. Miasteczko Krajeński,pilski,221,6,130,279,230,wielkopolskie,:,3147,508,"16,14%",866
gm.w. Kuślin,nowotomyski,373,38,402,679,395,wielkopolskie,:,5467,882,"16,13%",1887
gm.w. Brojce,gryficki,194,23,210,321,257,zachodniopomorskie,:,3664,591,"16,13%",1005
gm.w. Roźwienica,jarosławski,295,25,288,525,327,podkarpackie,:,6252,1008,"16,12%",1460
gm.w. Lipka,złotowski,400,31,339,561,455,wielkopolskie,:,5490,885,"16,12%",1786
gm.w. Adamów,łukowski,410,17,261,394,315,lubelskie,:,5511,887,"16,10%",1397
gm.w. Baranowo,ostrołęcki,464,17,238,522,373,mazowieckie,:,6460,1040,"16,10%",1614
gm.w. Uścimów,lubartowski,212,13,144,176,179,lubelskie,:,3120,502,"16,09%",724
gm.w. Wola Krzysztoporska,piotrkowski,940,58,709,1294,772,łódzkie,:,11981,1928,"16,09%",3773
gm.w. Krypno,moniecki,267,21,143,356,224,podlaskie,:,3960,637,"16,09%",1011
gm.w. Dębowiec,cieszyński,360,67,440,726,451,śląskie,:,5845,939,"16,07%",2044
gm.w. Golub-Dobrzyń,golubsko-dobrzyński,561,59,648,1000,624,kujawsko-pomorskie,:,8841,1420,"16,06%",2892
gm.w. Stara Błotnica,białobrzeski,324,38,388,564,370,mazowieckie,:,5294,850,"16,06%",1684
gm.w. Lubichowo,starogardzki,359,19,259,591,439,pomorskie,:,6717,1079,"16,06%",1667
gm.w. Dąbrówno,ostródzki,289,27,242,470,314,warmińsko-mazurskie,:,4235,680,"16,06%",1342
gm.w. Przelewice,pyrzycki,375,22,254,503,428,zachodniopomorskie,:,5115,821,"16,05%",1582
gm.w. Kowala,radomski,642,73,598,1295,650,mazowieckie,:,12273,1969,"16,04%",3258
gm.w. Baboszewo,płoński,585,54,489,842,575,mazowieckie,:,7913,1268,"16,02%",2545
gm.w. Platerów,łosicki,391,4,201,360,311,mazowieckie,:,4825,772,16%,1267
gm.w. Jednorożec,przasnyski,410,33,377,659,421,mazowieckie,:,7023,1124,16%,1900
gm.w. Wojaszówka,krośnieński,596,57,451,848,594,podkarpackie,:,9360,1497,"15,99%",2546
gm.w. Boleszkowice,myśliborski,172,21,170,295,206,zachodniopomorskie,:,2846,455,"15,99%",864
gm.w. Czernikowo,toruński,510,58,607,978,542,kujawsko-pomorskie,:,9026,1442,"15,98%",2695
gm.w. Łubnice,wieruszowski,342,13,209,397,279,łódzkie,:,4015,641,"15,97%",1240
gm.w. Łomża,łomżyński,561,55,628,1150,695,podlaskie,:,11254,1797,"15,97%",3089
gm.w. Iłowo-Osada,działdowski,558,36,336,774,538,warmińsko-mazurskie,:,7169,1145,"15,97%",2242
gm.w. Strzelce,kutnowski,315,31,298,378,322,łódzkie,:,3892,621,"15,96%",1344
gm.w. Chotcza,lipski,205,5,88,179,198,mazowieckie,:,2333,372,"15,95%",675
gm.w. Kościelec,kolski,430,29,399,750,471,wielkopolskie,:,6873,1096,"15,95%",2079
gm.w. Wijewo,leszczyński,257,11,112,259,198,wielkopolskie,:,3863,616,"15,95%",837
gm.w. Nowogródek Pomorski,myśliborski,180,18,202,330,279,zachodniopomorskie,:,3354,535,"15,95%",1009
gm.m-w. Lwówek,nowotomyski,651,63,597,1015,664,wielkopolskie,:,9017,1437,"15,94%",2990
gm.w. Sztabin,augustowski,378,25,230,370,315,podlaskie,:,4996,796,"15,93%",1318
gm.w. Nowy Dwór,sokólski,258,7,111,229,186,podlaskie,:,2573,410,"15,93%",791
gm.m-w. Dąbie,kolski,493,13,339,503,466,wielkopolskie,:,6251,996,"15,93%",1814
gm.w. Krzykosy,średzki,489,42,512,838,547,wielkopolskie,:,7163,1141,"15,93%",2428
gm.w. Żmudź,chełmski,196,7,142,249,186,lubelskie,:,3022,481,"15,92%",780
gm.w. Oporów,kutnowski,230,9,184,291,201,łódzkie,:,2487,396,"15,92%",915
gm.w. Latowicz,miński,392,26,285,455,320,mazowieckie,:,5379,856,"15,91%",1478
gm.w. Dobra,limanowski,567,42,500,859,603,małopolskie,:,10037,1595,"15,89%",2571
gm.m-w. Krobia,gostyński,894,59,721,1208,806,wielkopolskie,:,12918,2053,"15,89%",3688
gm.m-w. Dobra,turecki,459,30,316,570,450,wielkopolskie,:,6067,964,"15,89%",1825
gm.w. Drzycim,świecki,301,26,253,468,320,kujawsko-pomorskie,:,4889,776,"15,87%",1368
gm.w. Łęki Szlacheckie,piotrkowski,278,7,162,295,225,łódzkie,:,3405,540,"15,86%",967
gm.w. Żyraków,dębicki,785,83,771,1302,776,podkarpackie,:,14277,2265,"15,86%",3717
gm.w. Siemiątkowo,żuromiński,239,9,169,302,210,mazowieckie,:,3426,543,"15,85%",929
gm.w. Gubin,krośnieński,427,63,470,792,528,lubuskie,:,7116,1127,"15,84%",2280
gm.w. Sadkowice,rawski,474,22,253,458,330,łódzkie,:,5391,854,"15,84%",1537
gm.m-w. Nowy Staw,malborski,542,35,387,801,653,pomorskie,:,7580,1201,"15,84%",2418
gm.w. Gowarczów,konecki,337,10,170,350,331,świętokrzyskie,:,4558,722,"15,84%",1198
gm.w. Luzino,wejherowski,667,125,1222,1901,812,pomorskie,:,16855,2668,"15,83%",4727
gm.w. Siedlec,wolsztyński,780,97,840,1498,911,wielkopolskie,:,12767,2021,"15,83%",4126
gm.w. Zgorzelec,zgorzelecki,452,37,392,856,652,dolnośląskie,:,8551,1353,"15,82%",2389
gm.w. Staroźreby,płocki,518,19,336,617,399,mazowieckie,:,7154,1132,"15,82%",1889
gm.w. Wągrowiec,wągrowiecki,696,76,875,1397,868,wielkopolskie,:,12338,1952,"15,82%",3912
gm.w. Wysokie Mazowieckie,wysokomazowiecki,411,25,272,463,308,podlaskie,:,5465,864,"15,81%",1479
gm.w. Wilczęta,braniewski,214,19,156,276,241,warmińsko-mazurskie,:,2935,464,"15,81%",906
gm.m-w. Poniec,gostyński,554,45,453,807,560,wielkopolskie,:,7715,1220,"15,81%",2419
gm.m-w. Łabiszyn,żniński,672,71,670,1006,764,kujawsko-pomorskie,:,10343,1634,"15,80%",3183
gm.m-w. Glinojeck,ciechanowski,565,47,456,781,609,mazowieckie,:,7764,1227,"15,80%",2458
gm.w. Drelów,bialski,384,14,206,392,316,lubelskie,:,5271,832,"15,78%",1312
gm.w. Białaczów,opoczyński,444,23,253,490,347,łódzkie,:,5723,903,"15,78%",1557
gm.w. Bochnia,bocheński,1129,108,1359,2119,1214,małopolskie,:,20152,3177,"15,77%",5929
gm.w. Rakszawa,łańcucki,382,22,324,565,382,podkarpackie,:,7373,1163,"15,77%",1675
gm.w. Rypin,rypiński,466,49,451,764,458,kujawsko-pomorskie,:,7533,1187,"15,76%",2188
gm.w. Wizna,łomżyński,323,4,146,289,242,podlaskie,:,3946,622,"15,76%",1004
gm.w. Głowno,zgierski,367,30,313,559,327,łódzkie,:,4826,760,"15,75%",1596
gm.w. Kochanowice,lubliniecki,421,51,428,657,403,śląskie,:,6959,1096,"15,75%",1960
gm.w. Nowe Miasto nad Wart,średzki,627,49,606,959,629,wielkopolskie,:,8984,1415,"15,75%",2870
gm.w. Pleśna,tarnowski,723,51,577,1121,617,małopolskie,:,11930,1878,"15,74%",3089
gm.m-w. Bieżuń,żuromiński,404,19,278,416,363,mazowieckie,:,4903,771,"15,73%",1480
gm.m-w. Tuchów,tarnowski,1047,82,875,1513,1023,małopolskie,:,17809,2798,"15,71%",4540
gm.w. Mycielin,kaliski,379,22,243,488,349,wielkopolskie,:,4862,764,"15,71%",1481
gm.m-w. Zagórów,słupecki,641,49,536,926,665,wielkopolskie,:,8878,1395,"15,71%",2817
gm.m-w. Krzywiń,kościański,677,32,594,994,763,wielkopolskie,:,9926,1558,"15,70%",3060
gm.w. Raków,kielecki,430,11,266,438,404,świętokrzyskie,:,5544,870,"15,69%",1549
gm.m-w. Dąbrowa Tarnowska,dąbrowski,1244,100,1139,1839,1205,małopolskie,:,21187,3322,"15,68%",5527
gm.w. Szydłowo,pilski,418,111,665,1280,706,wielkopolskie,:,9341,1465,"15,68%",3180
gm.w. Miączyn,zamojski,410,14,252,469,356,lubelskie,:,5667,888,"15,67%",1501
gm.w. Lubochnia,tomaszowski,514,59,469,799,530,łódzkie,:,7123,1116,"15,67%",2371
gm.w. Perzów,kępiński,249,30,225,402,265,wielkopolskie,:,3765,590,"15,67%",1171
gm.w. Potok Górny,biłgorajski,492,10,198,375,360,lubelskie,:,5314,832,"15,66%",1435
gm.w. Wodynie,siedlecki,312,11,157,299,270,mazowieckie,:,4382,686,"15,66%",1049
gm.w. Sulików,zgorzelecki,348,33,271,524,475,dolnośląskie,:,6030,943,"15,64%",1651
gm.w. Iłów,sochaczewski,436,26,305,544,360,mazowieckie,:,6118,957,"15,64%",1671
gm.w. Iwierzyce,ropczycko-sędziszowski,424,40,385,623,341,podkarpackie,:,7735,1210,"15,64%",1813
gm.w. Ryczywół,obornicki,512,56,499,851,579,wielkopolskie,:,7264,1136,"15,64%",2497
gm.w. Krasnopol,sejneński,266,10,157,327,259,podlaskie,:,3756,587,"15,63%",1019
gm.m-w. Rudnik nad Sanem,niżański,660,45,439,749,595,podkarpackie,:,10076,1574,"15,62%",2488
gm.w. Ujsoły,żywiecki,289,9,151,313,301,śląskie,:,4406,688,"15,62%",1063
gm.m-w. Biała Piska,piski,729,47,586,1009,693,warmińsko-mazurskie,:,11534,1802,"15,62%",3064
gm.w. Mokobody,siedlecki,406,5,189,416,308,mazowieckie,:,4922,768,"15,60%",1324
gm.m-w. Lubycza Królewska,tomaszowski,426,29,246,487,500,lubelskie,:,6102,951,"15,59%",1688
gm.w. Wierzbinek,koniński,468,27,330,701,506,wielkopolskie,:,7216,1125,"15,59%",2032
gm.w. Rozprza,piotrkowski,897,60,691,1316,849,łódzkie,:,12310,1918,"15,58%",3813
gm.m-w. Kosów Lacki,sokołowski,477,15,299,475,350,mazowieckie,:,5900,919,"15,58%",1616
gm.m-w. Ulanów,niżański,561,32,348,617,509,podkarpackie,:,8214,1280,"15,58%",2067
gm.w. Osiecznica,bolesławiecki,400,49,492,807,476,dolnośląskie,:,7288,1135,"15,57%",2224
gm.w. Jemielnica,strzelecki,485,53,499,698,447,opolskie,:,7224,1125,"15,57%",2182
gm.w. Kłoczew,rycki,497,26,357,565,443,lubelskie,:,7125,1109,"15,56%",1888
gm.w. Zakrzew,radomski,632,83,769,1394,793,mazowieckie,:,13308,2071,"15,56%",3671
gm.m-w. Łagów,kielecki,455,17,319,631,420,świętokrzyskie,:,6812,1059,"15,55%",1842
gm.w. Raciąż,płoński,579,38,444,814,556,mazowieckie,:,8218,1277,"15,54%",2431
gm.w. Szerzyny,tarnowski,511,29,346,622,449,małopolskie,:,7888,1225,"15,53%",1957
gm.w. Długosiodło,wyszkowski,537,27,350,724,486,mazowieckie,:,7768,1206,"15,53%",2124
gm.w. Gniezno,gnieźnieński,579,113,1011,1750,776,wielkopolskie,:,12644,1964,"15,53%",4229
gm.w. Grzegorzew,kolski,407,20,258,529,386,wielkopolskie,:,5665,880,"15,53%",1600
gm.w. Budzów,suski,509,47,650,922,563,małopolskie,:,8902,1382,"15,52%",2691
gm.w. Mały Płock,kolneński,331,19,202,356,287,podlaskie,:,4692,728,"15,52%",1195
gm.w. Świątki,olsztyński,218,14,161,316,279,warmińsko-mazurskie,:,3991,619,"15,51%",988
gm.w. Huszlew,łosicki,252,13,118,256,180,mazowieckie,:,2780,431,"15,50%",819
gm.w. Iwaniska,opatowski,471,17,297,472,457,świętokrzyskie,:,6516,1010,"15,50%",1714
gm.w. Brody,starachowicki,765,69,633,1187,733,świętokrzyskie,:,10760,1668,"15,50%",3387
gm.w. Dziadowa Kłoda,oleśnicki,293,26,261,463,330,dolnośląskie,:,4598,712,"15,49%",1373
gm.w. Kotuń,siedlecki,518,31,367,675,498,mazowieckie,:,8490,1315,"15,49%",2089
gm.m-w. Szamocin,chodzieski,545,31,373,679,593,wielkopolskie,:,7513,1164,"15,49%",2221
gm.w. Siemień,parczewski,294,6,192,343,294,lubelskie,:,4451,689,"15,48%",1129
gm.w. Górzno,garwoliński,410,35,459,703,420,mazowieckie,:,6557,1015,"15,48%",2027
gm.m-w. Dobrodzień,oleski,666,52,431,741,531,opolskie,:,9737,1507,"15,48%",2421
gm.m-w. Rajgród,grajewski,363,19,193,401,342,podlaskie,:,5115,792,"15,48%",1318
gm.w. Mniów,kielecki,557,35,444,730,568,świętokrzyskie,:,9341,1446,"15,48%",2334
gm.w. Giżycko,giżycki,501,78,617,1108,787,warmińsko-mazurskie,:,8629,1336,"15,48%",3091
gm.w. Krasnystaw,krasnostawski,537,39,471,828,670,lubelskie,:,8460,1309,"15,47%",2545
gm.w. Rawa Mazowiecka,rawski,554,46,478,856,548,łódzkie,:,8793,1360,"15,47%",2482
gm.w. Jastrzębia,radomski,369,33,403,601,492,mazowieckie,:,7016,1085,"15,46%",1898
gm.w. Jedlińsk,radomski,785,71,818,1418,954,mazowieckie,:,14623,2260,"15,46%",4046
gm.w. Suchożebry,siedlecki,331,16,174,396,319,mazowieckie,:,4652,719,"15,46%",1236
gm.w. Kuryłówka,leżajski,368,15,206,451,355,podkarpackie,:,5700,881,"15,46%",1395
gm.w. Gniewino,wejherowski,335,32,395,647,516,pomorskie,:,7456,1153,"15,46%",1925
gm.m-w. Biecz,gorlicki,1043,84,815,1287,972,małopolskie,:,16742,2586,"15,45%",4201
gm.w. Strachówka,wołomiński,192,7,105,235,174,mazowieckie,:,2731,422,"15,45%",713
gm.w. Strawczyn,kielecki,545,51,679,1167,657,świętokrzyskie,:,10964,1693,"15,44%",3099
gm.w. Sadki,nakielski,442,43,499,831,574,kujawsko-pomorskie,:,7253,1119,"15,43%",2389
gm.w. Ostrów Mazowiecka,ostrowski,800,50,695,1225,773,mazowieckie,:,12880,1987,"15,43%",3543
gm.m-w. Susz,iławski,763,24,556,1023,995,warmińsko-mazurskie,:,12634,1948,"15,42%",3361
gm.w. Sieroszewice,ostrowski,562,42,488,969,686,wielkopolskie,:,9660,1490,"15,42%",2747
gm.w. Jaświły,moniecki,350,13,209,373,302,podlaskie,:,4801,740,"15,41%",1247
gm.w. Jodłownik,limanowski,532,31,448,762,502,małopolskie,:,8717,1342,"15,40%",2275
gm.w. Sulęczyno,kartuski,307,25,347,519,344,pomorskie,:,5616,863,"15,37%",1542
gm.w. Puchaczów,łęczyński,313,19,303,559,341,lubelskie,:,5704,876,"15,36%",1535
gm.w. Platerówka,lubański,110,8,73,148,116,dolnośląskie,:,1629,250,"15,35%",455
gm.m-w. Torzym,sulęciński,442,52,435,734,496,lubuskie,:,6734,1034,"15,35%",2159
gm.w. Żarnów,opoczyński,462,18,275,447,388,łódzkie,:,5817,893,"15,35%",1590
gm.m-w. Biała,prudnicki,794,53,570,862,589,opolskie,:,10544,1618,"15,35%",2868
gm.w. Sokoły,wysokomazowiecki,423,19,261,415,391,podlaskie,:,5679,872,"15,35%",1509
gm.w. Rzezawa,bocheński,554,65,671,1157,667,małopolskie,:,11430,1753,"15,34%",3114
gm.w. Małdyty,ostródzki,411,22,272,490,485,warmińsko-mazurskie,:,6218,954,"15,34%",1680
gm.w. Lipno,lipnowski,670,66,709,1312,744,kujawsko-pomorskie,:,11830,1813,"15,33%",3501
gm.w. Lipnica Murowana,bocheński,280,24,328,488,343,małopolskie,:,5642,865,"15,33%",1463
gm.w. Sierpc,sierpecki,432,23,359,761,419,mazowieckie,:,7004,1074,"15,33%",1994
gm.w. Cisek,kędzierzyńsko-kozielski,386,35,309,478,318,opolskie,:,5553,850,"15,31%",1526
gm.w. Obrzycko,szamotulski,295,41,341,447,338,wielkopolskie,:,4498,688,"15,30%",1462
gm.w. Łęczyce,wejherowski,590,52,652,1109,697,pomorskie,:,12102,1849,"15,28%",3100
gm.w. Leśniowice,chełmski,284,17,167,315,272,lubelskie,:,3544,541,"15,27%",1055
gm.w. Lubień,myślenicki,518,50,631,875,539,małopolskie,:,10080,1538,"15,26%",2613
gm.w. Godziesze Wielkie,kaliski,601,75,614,1055,578,wielkopolskie,:,9674,1476,"15,26%",2923
gm.m-w. Siedliszcze,chełmski,439,18,289,575,436,lubelskie,:,6768,1032,"15,25%",1757
gm.w. Zduńska Wola,zduńskowolski,781,59,704,1284,722,łódzkie,:,12246,1867,"15,25%",3550
gm.w. Zarzecze,przeworski,390,22,335,557,406,podkarpackie,:,7211,1100,"15,25%",1710
gm.w. Wielgie,lipnowski,409,29,439,700,470,kujawsko-pomorskie,:,6712,1023,"15,24%",2047
gm.w. Jastrząb,szydłowiecki,298,19,242,395,336,mazowieckie,:,5158,786,"15,24%",1290
gm.w. Kulesze Kościelne,wysokomazowiecki,237,5,111,215,170,podlaskie,:,3057,466,"15,24%",738
gm.w. Grodziec,koniński,421,21,274,462,303,wielkopolskie,:,5131,782,"15,24%",1481
gm.m-w. Radomyśl Wielki,mielecki,761,60,750,1206,696,podkarpackie,:,14272,2174,"15,23%",3473
gm.w. Kozłowo,nidzicki,351,36,286,648,419,warmińsko-mazurskie,:,5924,902,"15,23%",1740
gm.w. Krzymów,koniński,503,39,443,852,503,wielkopolskie,:,8154,1242,"15,23%",2340
gm.w. Cielądz,rawski,281,12,155,328,269,łódzkie,:,3950,601,"15,22%",1045
gm.w. Zębowice,oleski,226,5,180,275,181,opolskie,:,3609,549,"15,21%",867
gm.w. Górno,kielecki,691,87,935,1549,841,świętokrzyskie,:,14649,2228,"15,21%",4103
gm.w. Nowe Miasto Lubawski,nowomiejski,478,31,483,813,532,warmińsko-mazurskie,:,8311,1264,"15,21%",2337
gm.w. Stryszów,wadowicki,387,33,436,784,508,małopolskie,:,6848,1040,"15,19%",2148
gm.m-w. Pełczyce,choszczeński,523,66,398,703,559,zachodniopomorskie,:,7710,1171,"15,19%",2249
gm.w. Harasiuki,niżański,389,27,253,543,349,podkarpackie,:,6049,918,"15,18%",1561
gm.m-w. Żelechów,garwoliński,485,45,502,729,549,mazowieckie,:,8193,1243,"15,17%",2310
gm.w. Działdowo,działdowski,526,55,563,1047,659,warmińsko-mazurskie,:,9831,1491,"15,17%",2850
gm.w. Ryńsk,wąbrzeski,550,50,569,903,596,kujawsko-pomorskie,:,8574,1300,"15,16%",2668
gm.w. Tarnawatka,tomaszowski,268,21,169,323,277,lubelskie,:,3885,589,"15,16%",1058
gm.w. Stupsk,mławski,329,13,233,482,336,mazowieckie,:,4820,730,"15,15%",1393
gm.w. Reńska Wieś,kędzierzyńsko-kozielski,478,51,563,783,538,opolskie,:,8299,1257,"15,15%",2413
gm.w. Dziadkowice,siemiatycki,254,10,114,223,160,podlaskie,:,2688,407,"15,14%",761
gm.m-w. Drobin,płocki,526,66,424,805,500,mazowieckie,:,7811,1182,"15,13%",2321
gm.w. Zakrzówek,kraśnicki,499,21,274,472,425,lubelskie,:,6404,968,"15,12%",1691
gm.w. Biskupiec,nowomiejski,585,31,475,735,647,warmińsko-mazurskie,:,9319,1409,"15,12%",2473
gm.m-w. Miłomłyn,ostródzki,315,20,222,385,386,warmińsko-mazurskie,:,4886,739,"15,12%",1328
gm.w. Perlejewo,siemiatycki,261,5,89,207,173,podlaskie,:,2726,412,"15,11%",735
gm.w. Braniewo,braniewski,312,35,379,537,429,warmińsko-mazurskie,:,6013,908,"15,10%",1692
gm.w. Mieleszyn,gnieźnieński,253,20,243,398,309,wielkopolskie,:,4012,606,"15,10%",1223
gm.w. Kobiele Wielkie,radomszczański,286,25,251,433,310,łódzkie,:,4388,662,"15,09%",1305
gm.w. Gozdowo,sierpecki,436,38,323,545,376,mazowieckie,:,5933,895,"15,09%",1718
gm.m-w. Rejowiec,chełmski,413,24,288,511,409,lubelskie,:,6295,949,"15,08%",1645
gm.w. Raczki,suwalski,383,23,280,496,390,podlaskie,:,5860,882,"15,05%",1572
gm.m-w. Raszków,ostrowski,752,47,696,1329,791,wielkopolskie,:,11881,1788,"15,05%",3615
gm.m-w. Chorzele,przasnyski,671,52,528,1045,621,mazowieckie,:,10075,1515,"15,04%",2917
gm.w. Kamieniec,grodziski,475,31,464,639,536,wielkopolskie,:,6621,995,"15,03%",2145
gm.w. Gródek nad Dunajcem,nowosądecki,524,41,471,826,493,małopolskie,:,9243,1388,"15,02%",2355
gm.w. Bolesław,dąbrowski,190,5,85,192,143,małopolskie,:,2586,388,15%,615
gm.w. Pcim,myślenicki,582,84,757,1023,681,małopolskie,:,11147,1672,15%,3127
gm.w. Gostynin,gostyniński,862,33,630,1290,785,mazowieckie,:,11957,1794,15%,3600
gm.w. Tokarnia,myślenicki,440,56,563,895,513,małopolskie,:,8860,1328,"14,99%",2467
gm.w. Niebylec,strzyżowski,629,37,468,958,576,podkarpackie,:,10537,1580,"14,99%",2668
gm.w. Tarnówka,złotowski,200,18,128,234,232,wielkopolskie,:,2969,445,"14,99%",812
gm.w. Stanin,łukowski,626,24,346,721,543,lubelskie,:,9686,1449,"14,96%",2260
gm.w. Uście Gorlickie,gorlicki,359,42,344,553,403,małopolskie,:,6880,1029,"14,96%",1701
gm.w. Mszana Dolna,limanowski,922,55,828,1517,928,małopolskie,:,17618,2634,"14,95%",4250
gm.w. Lubomino,lidzbarski,234,11,131,294,214,warmińsko-mazurskie,:,3566,533,"14,95%",884
gm.w. Tarnowiec,jasielski,610,48,379,750,553,podkarpackie,:,9151,1364,"14,91%",2340
gm.w. Czarna,bieszczadzki,145,16,96,195,140,podkarpackie,:,2378,354,"14,89%",592
